tipo_establecimiento;tipo_titularidad;municipio_codigo;municipio_nombre;direccion_via_codigo;direccion_via_nombre;direccion_portal_numero;direccion_piso;direccion_puerta;direccion_codigo_postal;direccion_ubicacion;direccion_coordenada_x;direccion_coordenada_y;horario_acceso;codigo_dea
Otros;Pública;127;Rozas de Madrid, Las;CTRA;de la Coruña;KM21.8;;;;SERVICIO SANITARIO CUERPO DE BOMBEROS. EN RESERVA PARA POSIBLES SUSTITUCIONES DE LOS INSTALADOS EN VEHÍCULOS DE INTERVENCIÓN;425080;4485924;24H;2018-222
Otros;Pública;148;Torrejón de Ardoz;CALLE;Estaciones;0;;;28850;PARQUE DE BOMBEROS DE TORREJÓN DE ARDOZ INSTALADO EN VEHÍCULO DE INTERVENCIÓN;458753;4477221;24H;2018-223
Otros;Pública;903;Tres Cantos;CALLE;del Fuego;;;;;PARQUE DE BOMBEROS DE TRES CANTOS INSTALADO EN VEHÍCULO DE INTERVENCIÓN;439121;4496035;24H;2018-225
Centro educativo;Privada;079;Madrid;CALLE;de Portomarín;5;;;28050;COLEGIO LAS TABLAS-VALVERDE EN EL HALL DE ENTRADA;443855;4484307;9.30-18;2018-232
Otros;Privada;079;Madrid;CALLE;de la Castellana;259;18;;28032;TORRE CEPSA. JUNTO PUERTA ENTRADA SERVICIO MÉDICO COMPAÑÍA ESPAÑOLA DE PETROLEOS;441732;4481793;24 H;2018-300
Otros;Privada;134;San Sebastián de los Reyes;CALLE;de la Isla Graciosa;3;3ª;;28703;AL LADO DEL COMEDOR DAIMLER;447609;4489389;9-18;2018-301
Centro educativo;Privada;022;Boadilla del Monte;CALLE;Playa de Formentor;41;;;28660;URBANIZACIÓN BONANZA. hALL DE ACCESO AL CENTRO TRINITY COLLEGE;424245;4477350;9-17;2018-307
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;PLAZA;de la Marina Española;9;BAJA;;28013;CONTROL DE ACCESO POLICÍA CENTRO DE ESTUDIOS POLÍTICOS Y CONSTITUCIONALES;439560;4474692;7.30-20;2018-331
Establecimiento hotelero con más de 100 plazas;Privada;079;Madrid;CALLE;Gran Vía;25;5ª;;28013;FRENTE A ASCENSORES HOTEL TRYP MADRID GRAN VIA;440427;4474599;;2018-348
Establecimiento público con aforo igual o superior a 2000 personas;Privada;079;Madrid;AVDA;del Partenón;5;;;28042;EN VESTÍBULO NORTE DEL RECINTO FERIAL FERIA DE MADRID;447747;4479470;24 H;2018-389
Otros;Privada;005;Alcalá de Henares;AVDA;Camarmilla;s/n;;;28806;EN EL SERVICIO MÉDICO DE LA FACTORÍA ROCA SANITARIO SA;468189;4481528;;2018-429
Establecimiento dependiente de una Administración Pública;Pública;069;Hiruela, La;CALLE;de Enmedio;2;;;28191;JUNTO A ENTRADA DEL BAR SOCIAL EN ZONA DE ATENCIÓN AL PÚBLICA AYUNTAMIENTO DE LA HIRUELA;461786;4547515;10-21;2018-431
Otros;Privada;079;Madrid;CALLE;de Navaleno;;;;28033;PUERTA DE CALLE HALL DE ENTRADA ESQUINA C/ NAVALENO CON RAMONET APNA. ASOC. PADRES PERSONAS CON AUTISMO;443944;4480109;L A J 9-18 V 9-14.30 L-V 8.30-18.30;2018-432
Establecimiento dependiente de una Administración Pública;Pública;006;Alcobendas;CTRA;de Barajas;KM 1.4;;;;PABELLÓN DEPORTIVO AMAYA VALDEMORO. EN EL HALL DEL PABELLÓN AYTO. ALCOBENDAS;447284;4487474;L A D 8-22.30;2018-479
Establecimiento dependiente de una Administración Pública;Pública;006;Alcobendas;CALLE;de Francisco Chico Mendes;8;;;28108;PABELLÓN DEPORTIVO ANTELA PARADA. HALL DE ENTRADA AYTO. ALCOBENDAS;444644;4485951;COMPETICIONES;2018-480
Establecimiento dependiente de una Administración Pública;Pública;006;Alcobendas;CALLE;del Bachiller Alonso López;13;;;28100;PABELLÓN DEPORTIVO BACHILLER ALONSO LÓPEZ. EN VESTUARIO AYTO. ALCOBENDAS;446300;4488463;L A V 8-22.30;2018-481
Establecimiento dependiente de una Administración Pública;Pública;006;Alcobendas;AVDA;de Bruselas;19;;;28109;CENTRO CÍVICO ANABEL SEGURA. EN HALL DE ENTRADA AYTO. ALCOBENDAS;446081;4486924;L A V 10-21;2018-482
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;079;Madrid;AVDA;de los Poblados;72;;;28044;CENTRO DEPORTIVO MUNICIPAL LAS CRUCES ;435779;4470106;;2018-163
Otros;Pública;006;Alcobendas;CTRA;de Barajas;;;;;PARQUE DE BOMBEROS DE ALCOBENDAS INSTALADO EN VEHÍCULO DE INTERVENCIÓN;447447;4487324;24H;2018-180
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;CALLE;de Agustín de Foxá;31;BAJA;;28036;EN EL HALL DE ENTRADA JUNTO A SEGURIDAD AGENCIA MADRILEÑA DE ATENCIÓN SOCIAL;441975;4480330;7.30-19;2018-257
Establecimiento dependiente de una Administración Pública;Pública;013;Aranjuez;PLAZA;de Parejas;s/n;;;28300;ÁREA DE CONTROL DE LA ZONA DE FELIPE II CONSEJO DE ADMINISTRACIÓN DEL PATRIMONIO NACIONAL;448059;4432018;;2018-315
Establecimiento dependiente de una Administración Pública;Pública;131;San Lorenzo de El Escorial;AVDA;Juan de Borbón y Battenberg; S/N;;;28200;PASILLO DE ACCESO DEL MUSEO DE PINTURA A ARQUITECTURA CONSEJO DE ADMINISTRACIÓN PATRIMONIO NACIONAL;402863;4493941;;2018-317
Establecimiento dependiente de una Administración Pública;Pública;131;San Lorenzo de El Escorial;AVDA;Juan de Borbón y Battenberg;S/N;;;28200;ENTRADA DE LA BIBLIOTECA CONSEJO DE ADMINISTRACIÓN DEL PATRIMONIO NACIONAL;402863;4493941;;2018-318
Establecimiento dependiente de una Administración Pública;Pública;054;Escorial, El;CTRA;de M-600 (Guadarrama);;;;;CRA.GUADARRAMA/ESCORIAL VALLE CUELGAMUROS, EN ACCESO A BIBLIOTECA CONSEJO DE ADMINISTRACIÓN DEL PATRIMONIO NACIONAL;402150;4499559;;2018-319
Establecimiento dependiente de una Administración Pública;Pública;059;Fuente el Saz de Jarama;AVDA;Julián Sánchez;21;BAJA;;28140;HALL PABELLÓN. JUNTO A BOTIQUÍN AYTO. FUENTE EL SAZ DE JARAMA;456317;4497703;L A V 8-22 FESTIVOS 9-22;2018-330
Otros;Privada;058;Fuenlabrada;AVDA;de la Industria;28;;;28946;"Polig. Ind. ""LA CANTUEÑA"". EN EL PORTÓN DE ENTRADA DE MERCANCÍA ALLIANCE HEALTHCARE ESPAÑA SA";434640;4458260;7-24;2018-350
Establecimiento dependiente de una Administración Pública;Pública;115;Pozuelo de Alarcón;CALLE;Estación;2;;;28224;BIBLIOTECA ROSALÍA DE CASTRO AYTO POZUELO DE ALARCÓN;432176;4477655;;2018-366
Establecimiento dependiente de una Administración Pública;Pública;115;Pozuelo de Alarcón;CALLE;CENTRO ESPACIO OCIO;9;;B;;AYTO. POZUELO DE ALARCÓN;431211;4477924;;2018-367
Establecimiento dependiente de una Administración Pública;Pública;115;Pozuelo de Alarcón;AVDA;Juan XXIII;2;;;28224;CENTRO DE MAYORES PRADOS DE TORREJÓN AYTO. POZUELO DE ALARCÓN;431885;4477861;;2018-368
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;079;Madrid;PASEO;de la Vía Verde de la Gasolina;27;;;28042;ENTRADA POLIDEPORTIVO SPACIO DEPORTIVO EL CAPRICHO;449722;4478351;;2018-374
Establecimiento público con aforo igual o superior a 2000 personas;Privada;079;Madrid;AVDA;del Partenón;5;;;28042;ACCESO DE ENTRADA PABELLÓN Nº 1 DEL RECINTO FERIAL FERIA DE MADRID;447740;4479470;24H;2018-390
Establecimiento público con aforo igual o superior a 2000 personas;Privada;079;Madrid;AVDA;del Partenón;5;;;28042;EN ACCESO DE ENTRADA PABELLÓN 2 DEL RECINTO FERIAL FERIA DE MADRID;447740;4479470;24 H;2018-391
Otros;Pública;079;Madrid;CALLE;FARO DE LA MONCLOA;2;BAJA;;;MADRID DESTINO CULTURA TURISMO Y NEGOCIO SA;438792;4476547;24H;2018-421
Establecimiento público con aforo igual o superior a 2000 personas;Pública;079;Madrid;PASEO;de la Chopera;14;;;28045;MATADERO MADRID. CENTRAL DE INSTALACIONES. CENTRO DE CONTROL SEGURIDAD. MADRID DESTINO CULTURAL TURISMO Y NEGOCIO;440818;4471543;24H;2018-423
Establecimiento público con aforo igual o superior a 2000 personas;Pública;079;Madrid;CMNO;de Perales;23;0;;28041;CAJA MÁGICA ESTADIO 1 ZONA SUR-ESTE. PLANTA 0 NORTE ASCENSORES MADRID DESTINO CULTURA TURISMO Y NEGOCIOS;441820;4468852;24 H;2018-433
Otros;Privada;079;Madrid;PASEO;de la Castellana;259;33;A;28046;TORRE CEPSA. PLANTA 33 ARMARIO JUNTO IMPRESORAS ZONA CENTRAL COMPAÑÍA ESPAÑOLA DE PETRÓLEOS SAU;441732;4480793;24H;2018-443
Otros;Privada;006;Alcobendas;CALLE;de la Salvia;133;BAJA;;28109;RESIDENCIA CASER LA MORALEJA. RECEPCIÓN ;446413;4486688;8-21;2018-447
Otros;Privada;079;Madrid;CALLE;de Alberto Palacios;18;BAJA;;28021;ASOCIACION PROFESIONAL DE COMERCIANTES MERCADO MUNICIPAL DE VILLAVERDE ALTO;439614;4466439;;2018-448
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;AVDA;del Camino de Santiago;50;BAJA;;28050;PASILLO DISTRIBUIDOR ENTRE EDIFICIO 1 Y EDIFICIO 2 DRAGADOS SA;443206;4484323;L A J 8-17.30 V 8-14.30;2018-471
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;AVDA;del Camino de Santiago;50;BAJA;;28050;PASILLO DISTRIBUIDOR ENTRE EDIFICIO 2 Y EDIFICIO 3 DRAGADOS SA;443206;4484323;L A J 8-17.30 V 8-14.30;2018-472
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;AVDA;del Camino de Santiago;50;BAJA;;28050;PASILLO DISTRIBUIDOR ENTRE EDIFICIO 3 Y EDIFICIO 4 DRAGADOS SA;443206;4484323;L A J 8-17.30 V 8-14.30;2018-473
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;AVDA;del Camino de Santiago;50;6ª;;28050;EDIFICIO 2 ZONA SALA DE REUNIONES DRAGADOS SA;443206;4484323;L A J 8-17.30 V 8-14.30;2018-474
Establecimiento dependiente de una Administración Pública;Pública;006;Alcobendas;AVDA;Olímpica;14;;;28108;EDIFICIO MUNICIPAL LA ESFERA. HALL DE ENTRADA AYTO. ALCOBENDAS;446447;4487557;L A S 9.30-22.45 D -15.45;2018-483
Establecimiento dependiente de una Administración Pública;Pública;006;Alcobendas;PASEO;de la Chopera;59;;;28100;CENTRO CÍVICO PABLO IGLESIAS. EN VESTÍBULO PRINCIPAL AYTO. ALCOBENDAS;445435;4488254;L A V 9-21;2018-494
Establecimiento dependiente de una Administración Pública;Pública;006;Alcobendas;CALLE;de la Felicidad;0;;;28100;CAMPOS DE FUTBOL FUENTELUCHA. EN VESTUARIO AYTO. ALCOBENDAS;444225;4489038;COMPETICIONES;2018-495
Establecimiento dependiente de una Administración Pública;Pública;006;Alcobendas;CALLE;Francisco Largo Caballero;0;;;28100;CAMPOS DE FÚTBOL MARIO SUAREZ. EN LOCAL SOCIAL AYTO. ALCOBENDAS;445301;4489437;COMPETICIONES;2018-497
Establecimiento dependiente de una Administración Pública;Pública;006;Alcobendas;CALLE;del Nardo;101;;;28109;CAMPO DE RUGBY LAS TERRAZAS. EN VESTUARIO AYTO. ALCOBENDAS;446028;4486716;COMPETICIONES;2018-498
Centro de trabajo con más de 250 trabajadores;Privada;903;Tres Cantos;CALLE;de Einstein;6;1ª;;28760;PARQUE TECNOLÓGICO DE MADRID CRISA;439899;4493738;7.15-18.30;2018-160
Centro de trabajo con más de 250 trabajadores;Privada;903;Tres Cantos;CALLE;de Torres Quevedo;9;BAJA;;28760;PARQUE TECNOLÓGICO DE MADRID CRISA;439916;4493808;7.15-18.30;2018-161
Centro de trabajo con más de 250 trabajadores;Privada;903;Tres Cantos;CALLE;de Torres Quevedo;9;1ª;;28760;PARQUE TECNOLÓGICO DE MADRID CRISA;439916;4493808;7.15-18.30;2018-162
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;058;Fuenlabrada;CALLE;de los Girasoles;10;;;28942;forus fuenlabrada FORUS FUENLABRADA;429715;4460487;7-22.30;2018-167
Centro educativo;Privada;079;Madrid;CALLE;de Frascuelo;2;;;28043;ZONA DE SECRETARÍA COELGIO BRAINS;445292;4478404;;2018-176
Otros;Pública;005;Alcalá de Henares;CALLE;Ruperto Chapí;;;;28806;PARQUE DE BOMBEROS DE ALCALÁ DE HENARES INSTALADO EN VEHÍCULO DE INTERVENCIÓN;467444;4482051;24 H;2018-178
Otros;Pública;005;Alcalá de Henares;CALLE;Ruperto Chapí;;;;28806;PARQUE DE BOMBEROS DE ALCALÁ DE HENARES INSTALADO EN VEHÍCULO DE INTERVENCIÓN;467444;4482051;24 H;2018-179
Otros;Pública;093;Navacerrada;CTRA;de la Barranca;;;;28491;PARQUE DE BOMBEROS DE NAVACERRADA INSTALADO EN VEHÍCULO DE INTERVENCIÓN;415202;4510426;24H;2018-205
Otros;Pública;106;Parla;CMNO;de la Cantueña;12;;;;PARQUE DE BOMBEROS DE PARLA INSTALADO EN VEHÍCULO DE INTERVENCIÓN;435286;4455486;24H;2018-206
Otros;Pública;115;Pozuelo de Alarcón;PASEO;del Río;2;;;28223;PARQUE DE BOMBEROS DE POZUELO DE ALARCÓN INSTALADO EN VEHÍCULO DE INTERVENCIÓN;431732;4474967;24H;2018-209
Otros;Pública;133;San Martín de Valdeiglesias;CTRA;de M-501 (Alcorcón-Plasencia);KM55;;;28680;PAQUE DE BOMBEROS DE SAN MARTÍN DE VALDEIGLESIAS INSTALADO EN VEHÍCULO DE INTERVENCIÓN;383118;4468413;24H;2018-210
Otros;Pública;127;Rozas de Madrid, Las;CTRA;de la Coruña;KM21.8;;;;SERVICIO SANITARIO CUERPO DE BOMBEROS. EN RESERVA PARA POSIBLES SUSTITUCIONES DE LOS INSTALADOS EN VEHÍCULOS DE INTERVENCION;425080;4485924;24H;2018-213
Otros;Pública;161;Valdemoro;CALLE;Gaspar Bravo de Sobremonte;3;;;28341;PARQUE DE BOMBEROS DE VALDEMORO INSTALADO EN VEHÍCULO DE INTERVENCIÓN;442970;4447320;24H;2018-227
Centro educativo;Privada;079;Madrid;CALLE;de la Virgen de los Rosales;1;;;28023;EN LA CONSERJERÍA DEL COLEGIO COLEGIO SANTA MARÍA DE LOS ROSALES;434710;4478401;24H;2018-255
Centro de trabajo con más de 250 trabajadores;Privada;006;Alcobendas;CALLE;de Anabel Segura;7;;;28108;HALL PRINCIPAL DEL EDIFICIO SOGEPIMA SA;447004;4487270;;2018-258
Centro de trabajo con más de 250 trabajadores;Privada;006;Alcobendas;AVDA;de Bruselas;16;;;28109;HALL PRINCIPAL DEL EDIFICIO SOGEPIMA SA;446099;4486979;;2018-259
Centro de trabajo con más de 250 trabajadores;Privada;006;Alcobendas;AVDA;de Europa;21;;;28108;HALL PRINCIPAL DEL EDIFICIO SOGEPIMA SA;444300;4484983;;2018-260
Establecimiento hotelero con más de 100 plazas;Privada;079;Madrid;CALLE;del Poeta Joan Maragall;43;;;28020;EN EL HALL DE ENTRADA C.P. APARTOTEL MELIA CASTILLA;441316;4479197;;2018-261
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;CALLE;de Juan del Rosal;2;;;28040;JUNTO AL PUESTO DEL VIGILANTE DE SEGURIDAD CENTRO DE ESTUDIOS JURÍDICOS;438007;4478207;7-20.30;2018-262
Centro educativo;Privada;080;Majadahonda;CALLE;Barco;2;BAJA;;28222;COLEGIO CAUDE. EN EL VESTÍBULO ;437209;4470142;;2018-290
Otros;Privada;014;Arganda del Rey;AVDA;de Madrid;35;BAJA;;28500;"ENTRADA DE NAVE DE PRODUCCIÓN. EN ZONA ""SAFETY CORNER"" GAEX SLU";460756;4461746;;2018-291
Otros;Privada;079;Madrid;CALLE;de Santa Cruz de Marcenado;33;BAJA;;28015;SERVICIOS ESPECIALES SA ;439444;4478692;;2018-294
Centro educativo;Privada;176;Villanueva de la Cañada;CALLE;Cristo;27;;;28691;CASA CONSISTORIAL LYCÉE MOLIÉRE;415179;4478033;;2018-309
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;092;Móstoles;CALLE;Ciclista David Gea;S/N;BAJA;;28935;EN VESTÍBULO DE ENTRADA PRINCIPAL. EN MOSTRADOR DE RECEPCIÓN ´CDM BF WELLNESS CENTER MÓSTOLES;424634;4464383;7.30-23;2018-343
Establecimiento hotelero con más de 100 plazas;Privada;079;Madrid;CALLE;de Mesonero Romanos;13;1ª;;28004;EN EL LOBBY PRINCIPAL HOTEL TRYP MADRID CIBELES;440279;4474665;;2018-349
Centro educativo;Privada;006;Alcobendas;CALLE;de la Salvia;48;;;28109;HALL DE ENTRADA. ZONA DE RECEPCIÓN Y SECRETARÍA COLEGIO BRAINS;446506;4486821;;2018-171
Centro educativo;Privada;006;Alcobendas;CALLE;de la Salvia;48;;;28109;PABELLÓN DEPORTIVO COLEGIO BRAINS;446506;4486821;;2018-172
Centro educativo;Privada;006;Alcobendas;CALLE;de la Salvia;48;;;28109;ENTRADA PRINCIPAL DE LA PISCINA COLEGIO BRAINS;446506;4486821;;2018-173
Centro educativo;Privada;079;Madrid;CALLE;de María Lombillo;5;;;28027;ZONA FRENTE A SECRETARÍA COLEGIO BRAINS;445891;4477205;;2018-174
Centro educativo;Privada;079;Madrid;CALLE;de María Lombillo;5;;;28027;EN PABELLÓN DEPORTIVO COLEGIO BRAINS;445891;4477205;;2018-175
Otros;Pública;054;Escorial, El;CTRA;M-505 (Madrid);km28;;;;PARQUE DE BOMBEROS DE EL ESCORIAL INSTALADO EN VEHÍCULO DE INTERVENCIÓN;404605;4492542;24H;2018-192
Otros;Pública;054;Escorial, El;CTRA;M-505 (Madrid);KM28;;;;PARQUE DE BOMBEROS DE EL ESCORIAL INSTALADO EN VEHÍCULO DE INTERVENCIÓN;404605;4492542;24H;2018-194
Otros;Pública;065;Getafe;CALLE;La Cieguita de Getafe;;;;28907;PARQUE DE BOMBEROS DE GETAFE INSTALADO EN VEHÍCULO DE INTERVENCIÓN;437093;4462918;24H;2018-195
Otros;Pública;065;Getafe;CALLE;La Cieguita de Getafe;0;;;28907;PARQUE DE BOMBEROS DE GETAFE INSTALADO EN VEHÍCULO DE INTERVENCIÓN;437093;4462918;24H;2018-196
Otros;Pública;065;Getafe;CALLE;La Cieguita de Getafe;;;;28907;PARQUE DE BOMBEROS DE GETAFE INSTALADO EN VEHÍCULO DE INTERVENCIÓN;437093;4462918;24H;2018-197
Otros;Pública;127;Rozas de Madrid, Las;CTRA;de la Coruña;KM21.8;;;;PARQUE DE BOMBEROS DE LAS ROZAS INSTALADO EN VEHÍCULO DE INTERVENCIÓN;425080;4485924;24H;2018-198
Otros;Pública;901;Lozoyuela-Navas-Sieteiglesias;CALLE;PARQUE DE BOMBEROS DE LOZOYUELA;km68;;;;INSTALADO EN VEHÍCULO DE INTERVENCIÓN;447213;4531609;;2018-200
Otros;Pública;901;Lozoyuela-Navas-Sieteiglesias;CALLE;PARQUE DE BMBEROS DE LOZOYUELA;KM68;;;;INSTALADO EN VEHÍCULO DE INTERVENCIÓN;447213;4531609;24H;2018-202
Otros;Pública;093;Navacerrada;CTRA;de la Barranca;;;;28491;PARQUE DE BOMBEROS DE NAVACERRADA INSTALADO EN VEHÍCULO DE INTERVENCIÓN;415202;4510426;24H;2018-203
Otros;Pública;181;Villaviciosa de Odón;CALLE;Camino Pinares Llanos;;;;28670;POLIGONO PINARES LLANOS. PARCELA 1.PARQUE DE BOMBEROS VILLAVICIOS DE ODÓN. INSTALADO EN VEHÍCULO DE INTERVENCIÓN;422959;4466988;24H;2018-229
Centro educativo;Pública;079;Madrid;CALLE;del Madre Rosa Blanco;3;;;28041;COLEGIO CIUDAD DE JAÉN VESTÍBULO;440504;4469336;9-16 DIAS LECTIVOS;2018-292
Centro educativo;Privada;083;Meco;CALLE;Zeus;;;;28880;POLÍGONO INDUSTRIALMECO R-2.PARCELA 10 PLATAFORMA LOGÍSTICA MECO SA;473297;4486861;24 H;2018-293
Otros;Privada;079;Madrid;CALLE;de Juan Mieg;3;;;28054;TANATORIO, EN RECEPCIÓN SERVICIOS ESPECIALES SA;437967;4469264;24H;2018-295
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;CALLE;de Zurbarán;9;1ª;;28010;CUATRECASES GONçÄLVES PEREIRA ACCEDER POR ALMAGRO 9;441097;4475689;;2018-296
Otros;Privada;079;Madrid;CALLE;de la Castellana;259;22;;28032;TORRE CEPSA. ARMARIO JUNTO A IMPRESORAS. ZONA CENTRAL PLANTA COMPAÑÍA ESPAÑOLA DE PETRÓLEOS S.A.U.;441732;4480793;24H;2018-297
Otros;Privada;134;San Sebastián de los Reyes;CALLE;de la Isla Graciosa;3;2ª;;28703;AL LADO DEL COMEDOR DAIMLER;447609;4489389;9-18;2018-298
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;CALLE;de Bailén;s/n;;;;"JUNTO A CONTROL DE SEGURIDAD DENOMINADO ""CONTROL DE CÁCERES"" CONSEJO DE ADMINISTRACIÓN DEL PATRIMONIO NACIONAL";439411;4474483;;2018-311
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;PLAZA;de la Encarnación;1;;;28013;EN LA SALA DE ENTRADA, A LA DERECHA CONSEJO DE ADMINISTRACIÓN DEL PATRIMONIO NACIONAL;469644;4474590;;2018-312
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;PLAZA;de las Descalzas;S/N;;;28013;EN PASILLO DE ACCESO DEL MUSEO A LA IGLESIA CONSEJO DE ADMINISTRACIÓN DEL PATRIMONIO NACIONAL;440094;4474430;;2018-313
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;CALLE;de Manuel Alonso;S/N;;;28048;EN TAQUILLAS DE ACCESO AL MUSEO. JUNTO A VITRINAS CONSEJO DE ADMINISTRACIÓN PATRIMONIO NACIONAL;434195;4485837;;2018-314
Centro educativo;Pública;903;Tres Cantos;CALLE;de la Salvia;1;;;28760;COLEGIO ALDEBARÁN. JUNTO A VENTANILLA DE SECRETARÍA AYTO. TRES CANTOS;439791;4495013;9-17;2018-321
Centro educativo;Pública;903;Tres Cantos;SECT;Islas;26;;;28760;COLEGIO ANTONIO OSUNA. FRENTE A CONSERJERÍA AYTO. TRES CANTOS;440551;4493763;9-17;2018-322
Establecimiento dependiente de una Administración Pública;Pública;903;Tres Cantos;PLAZA;del Ayuntamiento;1;;;28760;EDIFICIO DEL AYUNTAMIENTO. VESTÍBULO DE ENTRADA AYTO. TRES CANTOS;439765;4494499;8-22;2018-323
Establecimiento dependiente de una Administración Pública;Pública;903;Tres Cantos;AVDA;de los Montes;1;;;28790;BASE DE POLICÍA LOCAL. VESTÍBULO DE ENTRADA AYTO. TRES CANTOS;439184;4495935;24H;2018-324
Establecimiento dependiente de una Administración Pública;Pública;903;Tres Cantos;AVDA;de los Labradores;26;;;28760;BIBLIOTECA LOPE DE VEGA. VESTÍBULO DE ENTRADA AYTO. TRES CANTOS;440669;4494685;8-22;2018-325
Centro educativo;Privada;079;Madrid;PASEO;del General Martínez Campos;31;BAJA;;28010; BRITISH COUNCIL;441145;4476298;6.30-23.30 L A V S-7-21.30;2018-339
Establecimiento dependiente de una Administración Pública;Pública;115;Pozuelo de Alarcón;PLAZA;Padre Vallet;S/N;;;28223;CENTRO DE MAYORES PADRE VALLET AYTO.POZUELO DE ALARCÓN;460862;4476384;;2018-358
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;092;Móstoles;CALLE;las Lilas;0;;;28933; FORUS FUENLABRADA;426720;4465801;7-22.30;2018-168
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;005;Alcalá de Henares;CALLE;Belvis del Jarama;8;;;28806; FORUS FORJAS ALCALÁ;469410;4482482;7-22.30;2018-169
Otros;Pública;181;Villaviciosa de Odón;CALLE;Camino Pinares Llanos;;;;28670;POLÍGONO PINARES LLANOS. PARCELA 1. PARQUE DE BOMBEROS DE VILLAVICIOSA DE ODÓN. INSTALADO EN VEHÍCULO DE INTERVENCIÓN;422959;4466988;24H;2018-230
Establecimiento hotelero con más de 100 plazas;Privada;079;Madrid;CALLE;de la Salud;3;;;28013; HOTEL LIABENY;440273;4474469;24H;2018-265
Otros;Privada;079;Madrid;CALLE;de Fermín Caballero;62;;;28034;EN LA RECEPCIÓN CLUB CIUDAD DE LOS PERIODISTAS;453606;4476466;8-23;2018-266
Establecimiento dependiente de una Administración Pública;Pública;123;Rivas-Vaciamadrid;AVDA;Parque de Asturias;s/n;BAJA;;28523;CENTRO DE MAYORES EL PARQUE. A LA ENTRADA AYTO. RIVAS VACIAMADRID;453237;4468267;10-14 V 17-18.30;2018-272
Centro educativo;Privada;079;Madrid;CALLE;de Rodríguez Marín;57;BAJA;;28002;MALETIN EN SALA DE PROFESORES COLEGIO SAN RAMÓN Y SAN ANTONIO;442427;4477879;;2018-302
Centro educativo;Privada;079;Madrid;CALLE;de Rodríguez Marín;57;BAJA;;28002;SALA DE PROFESORES COLEGIO SAN RAMÓN Y SAN ANTONIO;442427;4477879;;2018-303
Centro de trabajo con más de 250 trabajadores;Privada;127;Rozas de Madrid, Las;CALLE;Chile;1;BAJA;;28290; LG ELECTRONICS;424217;4488549;;2018-304
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;CALLE;de Atocha;106;S;;28012;INSTITUTO NACIONAL DE ADMINISTRACIÓN PÚBLICA ;441051;4473505;9-14;2018-305
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;065;Getafe;AVDA;Teresa de Calcuta;s/n;;;28903; FORUS GETAFE;439315;4463978;L A V 7-22.30 S 9-21 D-9-15;2018-308
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;115;Pozuelo de Alarcón;CALLE;Solano;3;BAJA;;28223;EN LA ENTRADA, JUNTO A RECEPCIÓN CENTRO DEPORTIVO BODY FACTORY;432811;4473846;L A V 7-23.S 9.30-15 17-21 D 9.30-15;2018-340
Establecimiento dependiente de una Administración Pública;Pública;115;Pozuelo de Alarcón;CALLE;Volturno;2;;;28223;AYTO. POZUELO DE ALARCÓN BIBLIOTECA VOLTURNO;432315;4473333;;2018-361
Establecimiento dependiente de una Administración Pública;Pública;115;Pozuelo de Alarcón;CALLE;San Rafael;2;;;28224;ESPACIO JOVEN CUBO AYTO. POZUELO DE ALARCÓN;432066;4477517;;2018-364
Establecimiento dependiente de una Administración Pública;Pública;115;Pozuelo de Alarcón;AVDA;Juan XXIII;10;;;28224;CONCEJALÍA DE FAMILIA AYTO. POZUELO DE ALARCÓN;431360;4477470;;2018-365
Otros;Privada;079;Madrid;CALLE;de Mérida;27;;;28030;RESIDENCIA SAGRADO CORAZÓN. ENTREPLANTA. DESPACHO MÉDICO ;446264;4473153;24H;2018-379
Grandes establecimientos comerciales con una superficie superior a 2500 m2;Privada;079;Madrid;CALLE;de Guadalajara;2;BAJA;;28042;PASILLO DE ACCESO AL HIPERMERCADO CENTRO COMERCIAL LAS ROSAS;447210;4474395;24 H;2018-380
Establecimiento público con aforo igual o superior a 2000 personas;Pública;079;Madrid;CALLE;de Darwin;3;BAJA;;28049;CSIC. CENTRO NACIONAL DE BIOTECNOLOGÍA.  HALL DE ENTRADA CANTOBLANCO. CAMPUS UNIVERSIDAD AUTÓNOMA;441557;4488425;24H;2018-382
