tipo_establecimiento;tipo_titularidad;municipio_codigo;municipio_nombre;direccion_via_codigo;direccion_via_nombre;direccion_portal_numero;direccion_piso;direccion_puerta;direccion_codigo_postal;direccion_ubicacion;direccion_coordenada_x;direccion_coordenada_y;horario_acceso;codigo_dea
Otros;Privada;005;Alcalá de Henares;CALLE;Lucio Emilio Cándido;4;0;G;;PLATAFORMA LOGÍSTICA LIDL SUPERMERCADOS ALCALÁ DE HENARES. ALMACÉN;465506;4479960;L A S: 24 HORAS. D: 22:00 A 6:00;2017-184
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;113;Pinto;CALLE;Sur;S/N;;;28320;ESTADIO RAMÓN MENDOZA HALL PRINCIPAL JUNTO A PUERTA LATERAL DE CONSERJERÍA;440475;4454152;DE 9:00 A 23:00;2017-3
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;113;Pinto;CALLE;Sevilla;S/N;;;28320;POLIDEPORTIVO PATRICIA CHAMORRO JUNTO A CONSERJERÍA;441232;4454909;08:00 A 22:00;2017-6
Centro de trabajo con más de 250 trabajadores;Privada;014;Arganda del Rey;CALLE;Latón;8;;;28500;TETRA PACK HISPANIA SA HALL DE ENTRADA JUNTO A RECEPCIÓN;460224;4461408;;2017-42
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;PLAZA;de Carlos Trias Bertrán;7;7;;28020;SERVICIO MADRILEÑO DE SALUD (SERMAS) ;441164;4478014;;2017-51
Centro educativo;Privada;079;Madrid;CALLE;de Labastida;13;1;;28034;CENTRO DE ESTUDIOS SUPERIORES FUENCARRAL SALA DE PROFESORES;441774;4482398;DE 8:30 A 20:30;2017-70
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;CTRA;de La Muñoza;S/N;1ª;;28042;GATE GOURMET SPAIN. FRENTE A OFICINAS DE PERSONAL POLIGONO INDUSTRIAL LA MUÑOZA - IBERIA;454270;4479856;;2017-71
Centro de trabajo con más de 250 trabajadores;Pública;079;Madrid;CALLE;del Poeta Joan Maragall;53;BAJA;;28020;SOCIEDAD ESTATAL LOTERÍAS Y APUESTAS DEL ESTADO SA PLANTA BAJA. HALL DE ENTRADA. CENTRO DE SEGURIDAD;441358;4479432;24 HORAS;2017-110
Otros;Pública;079;Madrid;CALLE;de Manuel Tovar;13;BAJA;;28034;SOCIEDAD ESTATAL LOTERÍAS Y APUESTAS DEL ESTADO SA PLANTA BAJA. HALL DE ENTRADA. GARITA DE SEGURIDAD.;441860;4482050;24 HORAS;2017-111
Otros;Pública;079;Madrid;CALLE;de Xaudaró;15;BAJA;;28034;SOCIEDAD ESTATAL LOTERÍAS Y APUESTAS DEL ESTADO PLANTA BAJA. HALL DE ENTRADA. GARITA DE SEGURIDAD;441404;4482303;24 HORAS;2017-113
Centro educativo;Pública;079;Madrid;AVDA;de los Poblados;183;;;28041;CPPEE JOAN MIRÓ ;440840;4469177;;2017-114
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;096;Navalcarnero;CALLE;del Río Nalón;;;;28600;ESTADIO DE FÚTBOL MARIANO GONZÁLEZ EN PASILLO DE SALIDA AL TERRENO DE JUEGO;413439;4459835;SEGÚN ACTIVIDADES;2017-127
Otros;Privada;079;Madrid;AVDA;de Manoteras;24;;;28050;PLANTA BAJA. RECEPCIÓN CALIDAD PASCUAL SAU;443487;4481977;9 A 18;2017-150
Otros;Privada;049;Coslada;CALLE;de Suiza;14;;;28821;GE GRID SOLUTIONS SA ;453688;4476792;9 A 17 HORAS;2017-169
Otros;Privada;113;Pinto;CALLE;PLATAFORMA LOGISTICA LIDL SUPERMERCADOS PINTO. ALMACÉN;S/N;;;;POLÍGONO INDUSTRIAL LAS ARENAS C/ DEL BARRANCO S/N;441733;4457594;L A V: 24 HORAS. S: HASTA 22:00. D: DESDE 14:00;2017-185
Otros;Privada;092;Móstoles;CALLE;Camino del Obispo;6;1;;28935;LIDL SUPERMERCADOS MÓSTOLES. OFICINA ;424796;4464956;L A V DE 8:30 A 19:00;2017-187
Otros;Privada;079;Madrid;CALLE;de Santuario;11;;;28026;FARMACIA YOLANDA PONTES ;440609;4470601;L A V: 9:30 A 14:00 Y 17:00 A 20:00. S DE 10:13:45;2017-189
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;CALLE;de Nicolás Cabrera;13;;;28049;ENTRADA DEL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTÍFICAS (CSIC);441800;4488974;8:00 A 18:00 HORAS;2017-193
Centro de trabajo con más de 250 trabajadores;Pública;079;Madrid;CALLE;de la Castellana;75;;;28032;OFICINA ESPAÑOLA DE PATENTES Y MARCAS PLANTA BAJA. EN GARITA DE SERVICIO DE VIGILANCIA;441213;4477669;15 HORAS;2017-194
Centro de trabajo con más de 250 trabajadores;Pública;079;Madrid;CALLE;de la Castellana;75;8;;28032;OFICINA ESPAÑOLA DE PATENTES Y MARCAS PLANTA 8. SERVICIO MÉDICO;441213;4477669;15 HORAS;2017-195
Otros;Privada;115;Pozuelo de Alarcón;AVDA;Europa;26;;;28224;C.C. ZIELO SHOPPING NIVEL +1 FRENTE A ASCENSORES. PASARELA CRISTAL;433465;4477040;9-21;2017-216
Centros residenciales de mayores con 200 plazas;Privada;079;Madrid;CALLE;de Santa Hortensia;46;;;28002;CASER RESIDENCIAL PLANTA 0. ENFERMERÍA;443752;4477266;9-21;2017-218
Otros;Privada;006;Alcobendas;CALLE;de Anabel Segura;14;ss;;28108;CAPGEMINI PLANTA SS ZONA A. AL LADO DEL COMEDOR;446813;4487175;8-18:30 VIERNES 8-15;2017-219
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;113;Pinto;CALLE;de la Buena Vista;S/N;;;28320;POLIDEPORTIVO ALBERTO CONTADOR EN EL PASILLO PRINCIPAL DEL EDIFICIIO DE AULAS;440494;4455151;08:00 A 22:00;2017-5
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;113;Pinto;CALLE;Juana Francés;63;;;28320;BIBLIOTECA MUNICIPAL JAVIER LA PEÑA HALL PRINCIPAL DE ENTRADA. JUNTO A CONSERJERÍA;440315;4456403;08:00 A 22:00;2017-28
Establecimiento dependiente de una Administración Pública;Pública;113;Pinto;PLAZA;de la Constitución;S/N;;;28320;EDIFICIO DE POLICÍA LOCAL HALL PRINCIPAL DE ENTRADA;440383;4454741;24 HORAS;2017-29
Centro educativo;Privada;006;Alcobendas;CALLE;del Camino Ancho;14;;;28109;COLEGIO ESCANDINAVO LA MORALEJA;448028;4484602;08:30 A 20:00;2017-32
Centro educativo;Pública;141;Sevilla la Nueva;CALLE;Ruiseñor;1-3;;;28609;CEIP ANTÓN SEVILLANO ;412555;4466589;;2017-65
Centro educativo;Privada;079;Madrid;AVDA;de Canillejas a Vicálvaro;135;BAJA;;28022;COLEGIO JUAN DE VALDÉS ;448246;4475257;DE 7:30 A 20:30;2017-94
Centro educativo;Pública;079;Madrid;AVDA;de Badajoz;76;;;28027;C.P.E.E. INFANTA ELENA RECEPCIÓN;444890;4477193;9:30 A 16:00;2017-116
Otros;Pública;096;Navalcarnero;CALLE;del Pozo del Concejo;9;;;28600;CENTRO TERCERA EDAD EN EL HALL DE ENTRADA;413772;4460110;10:00 A 13:00 Y 15:30 A 20:00;2017-120
