FID,ogc_fid,wkb_geometry,name,description,timestamp,begin,end,altitudemode,tessellate,extrude,visibility,draworder,icon
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dd1,3917665,POINT (370444.9599065839 4061175.2378708874),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Nuestra Señora de las Candelas,13<br /> <b>N° Plazas: </b> 8<br/> <b>Descripción:</b> Esquina con c/ La Crónica ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dd0,3917666,POINT (369584.00961131917 4060612.612416016),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Miguel de Mérida Nicolich,2<br /> <b>N° Plazas: </b> 8<br/> <b>Descripción:</b> Palacio de Deportes José Mª Martín Carpena ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dcf,3917667,POINT (369728.55821337213 4060646.638085271),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Alicia de la Rocha,2<br /> <b>N° Plazas: </b> 8<br/> <b>Descripción:</b> A la altura del Estadio de Atletismo. ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dce,3917668,POINT (374009.7192234295 4064487.4534748183),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Paseo Marítimo Ciudad de Melilla,23<br /> <b>N° Plazas: </b> 6<br/> <b>Descripción:</b> Paseo Marítimo frente a nº23 ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dcd,3917669,POINT (372556.32436850865 4065140.296559389),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Malasaña,4<br /> <b>N° Plazas: </b> 4<br/> <b>Descripción:</b> A la altura del Polideportivo Trinidad ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dcc,3917670,POINT (378915.3641712255 4064599.4467884745),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Cl. Practicante Fernández Alcolea,74<br /> <b>N° Plazas: </b> 4<br/> <b>Descripción:</b> Esquina con Cl. Padre Lerchundi ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dcb,3917671,POINT (365503.54605843837 4058633.221625468),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Torremolinos,65<br /> <b>N° Plazas: </b> 8<br/> <b>Descripción:</b> Esquina con c/ Ángeles Rubio Arguelles ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dca,3917672,POINT (369840.90407993225 4058586.3299528547),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Cl. Guadalhorce,54<br /> <b>N° Plazas: </b> 8<br/> <b>Descripción:</b> Esquina con Cl. Acacias de Guadalmar ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dc9,3917673,POINT (365852.62258899346 4059074.673813047),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Monsálvez,1<br /> <b>N° Plazas: </b> 8<br/> <b>Descripción:</b> Esquina con c/ Toril ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dc8,3917674,POINT (369978.8038748096 4061070.60000955),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Cl. Villanueva de Algaidas,16<br /> <b>N° Plazas: </b> 10<br/> <b>Descripción:</b> Esq. con Cl. Villanueva de Tapia. ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dc7,3917675,POINT (371839.7948268207 4064809.858287309),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Honduras,4<br /> <b>N° Plazas: </b> 4<br/> <b>Descripción:</b> Frente al C.E.P Pablo Ruiz Picasso ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dc6,3917676,POINT (369857.1493085355 4064478.3654941414),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Saint Exupery,22<br /> <b>N° Plazas: </b> 12<br/> <b>Descripción:</b> Esquina con c/ Prosper Mérimée. ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dc5,3917677,POINT (372737.1368581725 4064297.454610185),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Alameda de Colón,8<br /> <b>N° Plazas: </b> 10<br/> <b>Descripción:</b> Esquina con c/ Linaje ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dc4,3917678,POINT (372614.46590034605 4064758.442469816),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Cerrojos,1<br /> <b>N° Plazas: </b> 10<br/> <b>Descripción:</b> Esquina con Plaza Religiosa Filipense Dolores Márquez ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dc3,3917679,POINT (373382.6969459835 4065615.6509613595),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Plaza Ejido,3<br /> <b>N° Plazas: </b> 8<br/> <b>Descripción:</b> A la altura de la Facultad de económicas ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dc2,3917680,POINT (373175.6034268612 4064581.8877508664),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Plaza de la Marina,4<br /> <b>N° Plazas: </b> 6<br/> <b>Descripción:</b> Esq. con Molina Larios ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dc1,3917681,POINT (372738.58721566235 4064813.8575229915),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Pasillo Santa Isabel,7<br /> <b>N° Plazas: </b> 8<br/> <b>Descripción:</b> Esquina con c/ Cisneros ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dc0,3917682,POINT (373094.2145074515 4065125.14381512),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Cl. Tejón y Rodríguez,2<br /> <b>N° Plazas: </b> 10<br/> <b>Descripción:</b> Esquina con Plaza del Teatro ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dbf,3917683,POINT (373341.1537686825 4065767.228308288),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Plaza Maestro Artola,2<br /> <b>N° Plazas: </b> 8<br/> <b>Descripción:</b> Esquina con c/ Ejido ",,,,,-1,0,-1,0,
