stop_id,stop_code,stop_name,street_name,street_number,stop_lat,stop_lon,zone_id,stop_url,stop_timezone
par_8_18074,18074,INTERCAMBIADOR DE PLAZA CASTILLA,Paseo de la Castellana,195 A,40.4675521850586,-3.68892955780029,A,http://www.crtm.es,
par_8_16437,16437,CTRA.ANTIGUA DE BURGOS-C.C.ALEGRA,Ctra N-I ( Burgos),19900,40.5660285949707,-3.60559248924255,B1,http://www.crtm.es,Europe/Madrid
par_8_17026,17026,AV.DR.SEVERO OCHOA-PARQUE DE GALICIA,Avda del Doctor Severo Ochoa,49,40.541130065918,-3.65479969978333,B1,http://www.crtm.es,Europe/Madrid
par_8_15309,15309,PºCHOPERA-AV.DR.SEVERO OCHOA,Paseo de la Chopera,122,40.5449867248535,-3.651282787323,B1,http://www.crtm.es,Europe/Madrid
par_8_12344,12344,PºPARQUES-CºEL ENCINAR,Paseo de los Parques,7,40.512767791748,-3.6501681804657,B1,http://www.crtm.es,Europe/Madrid
par_8_1313,1313,AV.LOGROÑO-MARQUES DE BERNA,Avda de Logroño,243,40.4645080566406,-3.58558320999146,A,http://www.crtm.es,Europe/Madrid
par_8_15312,15312,MANUEL DE FALLA-EST.MANUEL DE FALLA,Calle Manuel de Falla,32,40.5502891540527,-3.64723587036133,B1,http://www.crtm.es,Europe/Madrid
par_8_17518,17518,CAMINO ANCHO-PºMARQUESA VIUDA ALDAMA,Calle del Camino Ancho,63,40.5177192687988,-3.61942958831787,B1,http://www.crtm.es,Europe/Madrid
par_8_06792,06792,AV.COLMENAR VIEJO-NTRA.SRA.CARMEN,Avda de Colmenar Viejo,27,40.5472412109375,-3.63149952888489,B1,http://www.crtm.es,Europe/Madrid
par_8_12093,12093,AV.BRUSELAS-CENTRO EMPRESARIAL,Avda de Bruselas,34,40.5296058654785,-3.64231419563293,B1,http://www.crtm.es,Europe/Madrid
par_8_12347,12347,PºLOS PARQUES-VEREDA DE PALACIO,Paseo de los Parques,25,40.5095443725586,-3.64345645904541,B1,http://www.crtm.es,Europe/Madrid
par_8_09422,09422,AZALEA-PºDE ALCOBENDAS,Calle de la Azalea,755,40.5251884460449,-3.63444471359253,B1,http://www.crtm.es,Europe/Madrid
par_8_06752,06752,BULV.SALVADOR ALLENDE-SORIA,Bulv de Salvador Allende,19,40.5379219055176,-3.63352560997009,B1,http://www.crtm.es,Europe/Madrid
par_8_06796,06796,AV.BAUNATAL-PZA.ANDRÉS CABALLERO,Avda de Baunatal,2,40.5527076721191,-3.6302752494812,B1,http://www.crtm.es,Europe/Madrid
par_8_06636,06636,AV.INDUSTRIA-YUNQUE,Avda de la Industria,52,40.6144943237305,-3.70241189002991,B2,http://www.crtm.es,Europe/Madrid
par_8_18177,18177,FANTASÍA-AV.MAGIA,Calle de la Fantasía,3,40.5527610778809,-3.65783023834229,B1,http://www.crtm.es,Europe/Madrid
par_8_12351,12351,CºHUERTA-DÁMASO ALONSO,Cmno de la Huerta,223,40.5072593688965,-3.63791084289551,B1,http://www.crtm.es,Europe/Madrid
par_8_16938,16938,CAMINO NUEVO-GTA.LA PALMERA,Calle Camino Nuevo,229,40.5245475769043,-3.6344621181488,B1,http://www.crtm.es,Europe/Madrid
par_8_15191,15191,PºEUROPA-AV.ESPAÑA,Paseo Europa,26,40.5417900085449,-3.62687826156616,B1,http://www.crtm.es,Europe/Madrid
par_8_06741,06741,RONDA DE LA CONSTITUCIÓN-ALCALÁ,Calle Ronda de la Constitución,137,40.5954666137695,-3.49679851531982,B3,http://www.crtm.es,Europe/Madrid
par_8_11693,11693,OLIVOS-MARÍA AMOR,Calle de los Olivos,19,40.5992012023926,-3.50136470794678,B3,http://www.crtm.es,Europe/Madrid
par_8_06664,06664,CTRA.M607-EL GOLOSO,Ctra M-607 Colmenar Viejo,16900,40.5554046630859,-3.71023917198181,B1,http://www.crtm.es,Europe/Madrid
