PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;TITULARIDAD;"JORNADA
(días de apertura)";HORARIO USO EDUCATIVO;USOS EXTRAESCOLARES CENTRO;OTROS USOS ;CATEGORÍA PATIO;Nº PATIOS;ACCESIBILIDAD2;"ACCESO DIRECTO
 DESDE LA CALLE";OTROS ACCESOS;ASEOS ACCESIBLES DESDE PATIO;SOMBRA;MOBILIARIO;"SERVICIOS
Alumbrado, fuentes";SUPERFICIE  PATIO (m²);ESTADO DE CONSERVACIÓN DEL PATIO ;PROXIMIDAD ZONAS VERDES;PROXIMIDAD EQUIPAMIENTOS;OBSERVACIONES
176850;Colegio Público Adolfo Suárez;;;Comedor - Horario ampliado - Planes de mejora.;BUS: 174;ENSEÑANZAS: Segundo ciclo de E. Infantil - Primaria - Educación Secundaria Obligatoria;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a9344b6faa61c010VgnVCM1000000b205a0aRCRD;INFANTA CATALINA MICAELA;CALLE;NUM;31;;;;;MADRID;MADRID;28050;VALDEFUENTES;HORTALEZA;444807;4482402;4.048.860.266.655.870;-36.525.544.243.312.800;917 502 058 / 676 562 792;917 502 058;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos;AYUNTAMIENTO;Lunes-Viernes CONTINUA;9:00-16:00;Actividades extraescolares 16:00-18:00;Actividades Extraescolares, Días No Lectivos, Campamentos Urbanos, Talleres Fin De Semana;III;3;SI;SI (c/ Infanta Catalina Micaela);-;NO;SI (150m²);Porterías, canastas, bancos;Alumbrado;3868,71 + 1384,25 + 4474,92;Mejorable (elementos deteriorados);;;
4693138;Colegio Público Agustín Rodriguez Sahagún;;;Horario ampliado - Comedor - Planes de mejora;Bus: 142;"ENSEÑANZA: Educacion Infantil - Primaria - Enseñanza biling&amp;uuml;e";0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=706c615f4eb66110VgnVCM1000000b205a0aRCRD;LA GRANJA DE SAN ILDEFONSO;CALLE;V;17;;;;;MADRID;MADRID;28031;CASCO H.VALLECAS;VILLA DE VALLECAS;447178;4468793;4.036.803.998.494.370;-36.221.677.428.793.900;913 324 348;914 941 475;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos;AYUNTAMIENTO;Lunes-Viernes CONTINUA;9:00-16:00;Actividades extraescolares 16:00-20:00;-;II;2;SI;SI (c/ Granja de San Ildefonso);Av. Villa de Vallecas (directo a canchas);SI (en gimnasio);Porches, arbolado;Porterías, canastas, columpios, bancos, ping pong, rocódromo, huerto.;Alumbrado, fuente;5748,56;Bueno;Parque Mundaire (450m), Parque de las Cataratas (550m), Parque Mundaire (650m);Orichas Stadium (300m), Instalación Deportiva Miguel Guillen (900m);
5075;Colegio Público Agustina Díez;;;Comedor - Horario ampliado;METRO: Alto del Arenal BUS: 54 , 58 , 103 , 143;ENSEÑANZA: Educación infantil - Primaria;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=dd68a3f5ca71c010VgnVCM1000000b205a0aRCRD;VESUBIO;CALLE;NUM;5;;;;;MADRID;MADRID;28038;PORTAZGO;PUENTE DE VALLECAS;445067;4471046;403.881.909.372.302;-3.647.236.724.917.080;917 770 073;917 770 073;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos;AYUNTAMIENTO;Lunes-Viernes CONTINUA;9:00-16:00;"Actividades extraescolares 16:00-17:00 , ""Quedamos al salir del cole"" 16:00-20:00";-;III;2;SI;NO;NO;SI;NO;Porterías;Alumbrado;1111,43;Aceptable;Parque de la Constitución (200m), Parque Azorín (600m);Biblioteca Miguel Hernández (750m);
5076;Colegio Público Alberto Alcocer;;;Comedor - Transporte - Horario ampliado - Planes de mejora.;METRO: Las Musas BUS: 38 , 48 , 140, 153;"ENSEÑANZA: Educación Infantil - Primaria - Enseñanza biling&amp;uuml;e";0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2388a3f5ca71c010VgnVCM1000000b205a0aRCRD;CANILLEJAS A VICALVARO;AVENIDA;NUM;56;;;;;MADRID;MADRID;28022;HELLIN;SAN BLAS-CANILLEJAS;448087;4476035;4.043.333.782.278.730;-36.120.521.748.962.500;913 202 609;913 200 446;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos;AYUNTAMIENTO;Lunes-Viernes PARTIDA;9:00-16:00;Actividades extraescolares 16:00-17:00;-;III;2;SI;SI;Principal del centro;NO;Porche pequeño;Porterías, canastas;NO;5036,74822;Bueno;Parque Paraiso;;
5077;Colegio Público Alcalde de Móstoles;;;Transporte - Comedor - Horario ampliado - Planes de mejora;BUS: 34 , 39 , 139 , 117 , 17 ,;ENSEÑANZA: Educación Infantil - Primaria;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7898a3f5ca71c010VgnVCM1000000b205a0aRCRD;ALDEANUEVA DE LA VERA;CALLE;V;9;;;;;MADRID;MADRID;28044;LAS AGUILAS;LATINA;434091;4470207;4.037.983.690.289.580;-37.764.479.299.262.600;917 055 465;915 095 129;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos;AYUNTAMIENTO;Lunes-Viernes CONTINUA;9:00-16:00;Actividades extraescolares 16:00-17:00;-;III;2;SI;SI;-;NO;Techado en infantil;Canastas, porterías, columpio;NO;2186,118;-;;;
5078;Colegio Público Alfonso X El Sabio;;;Comedor - Transporte -  Horario ampliado - Planes de mejora.;METRO: San Cipriano BUS: 4, 71, 100, 106, E-3;ENSEÑANZA: Educación Infantil - Primaria;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cda8a3f5ca71c010VgnVCM1000000b205a0aRCRD;FUENTE DE SAN PEDRO;CALLE;V;6;;;;;MADRID;MADRID;28032;CASCO H.VICALVARO;VICALVARO;448774;4472685;40.403.201.384.467.400;-36.036.948.781.029.300;913 719 661;917 765 962;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos;AYUNTAMIENTO;Lunes-Viernes CONTINUA;9:00-16:00;Actividades extraescolares 16:00-17:00;Cruz Roja 16:00-20:30;III;2;SI;SI (a patio infantil);Acceso directo a patio infantil;NO;NO;Porterías (primaria), columpios;NO;573,92;Bueno;Parque San Cipriano (300m);Biblioteca Vicálvaro (600m), Centro Cultural El Madroño (600m), CDM Margot Moles (850m);
10770379;Colegio Público Alfredo di Stefano;;;;BUS: 171, 174;"ENSEÑANZA: Educación Infantil - Primaria - Enseñanza biling&amp;uuml;e";0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=32c2f9dd06e95610VgnVCM1000001d4a900aRCRD;felix candela;calle;NUM;4;;;;;MADRID;MADRID;28022;HELLIN;HORTALEZA;448087;4476035;4.043.333.782.278.730;-36.120.521.748.962.500;660 906 527;;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos;AYUNTAMIENTO;Lunes-Viernes PARTIDA;9:00-16:00;Actividades extraescolares 16:00-18:00;-;III;3;SI;SI (c/ Felix Candela);-;NO;Porche, pérgola, arbolado;Porterías, canastas, columpios, bancos;Fuentes;-;Bueno;;;
5079;Colegio Público Alhambra;;;Comedor - Transporte - Horario ampliado - Planes de mejora.;METRO: Lacoma BUS: 49 , 67 , 82;"ENSEÑANZA: Educación Infantil - Primaria - Enseñanza biling&amp;uuml;e";0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=13c8a3f5ca71c010VgnVCM1000000b205a0aRCRD;RAMON GOMEZ DE LA SERNA;CALLE;NUM;103;;;;;MADRID;MADRID;28035;PEÑA GRANDE;FUENCARRAL-EL PARDO;438407;4481677;4.048.349.348.726.190;-3.726.718.327.962.490;913 162 273;913 737 021;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos;AYUNTAMIENTO;Lunes-Viernes CONTINUA;9:00-16:00;Actividades extraescolares 16:00-18:00;Talleres 'Patios Abiertos' Sábados 10:00-14:00;III;3;SI;SI (c/ Ramón Gómez de la Serna);-;NO;SI (300m²), arbolado;Canastas, porterías, juegos, bancos, papeleras;Fuentes ;3042,48;Mejorable (actualmente realizando obras);;;Participa actualmente de 'Patios Abiertos'
4690849;Colegio Público Álvaro de Bazan;;;Horario ampliado - Comedor - Integración prefernete (Trastornos generales del desarrollo);Bus: 4, 106, 140, 153;ENSEÑANZA: Educación infantil - Primaria;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=eb583058a6166110VgnVCM1000000b205a0aRCRD;ZURICH;CALLE;V;10;;;;;MADRID;MADRID;28022;ROSAS;SAN BLAS-CANILLEJAS;448486;4474724;4.042.154.331.046.480;-3.607.241.921.623.860;917 757 114;917 757 114;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos;AYUNTAMIENTO;Lunes-Viernes CONTINUA;9:00-16:00;Actividades extraescolares 16:00-17:00;Fútbol Antiguos Alumnos;III;4;SI;SI (c/ Zurich);-;NO;NO;Porterías, mesas de juegos;Alumbrado;2329,5797;Mejorable (deteriorado);;;Tiene patios interiores con diferentes equipamientos.
5080;Colegio Público Amadeo Vives;;;Comedor - Horario ampliado - Planes de mejora - Integración preferente (Trastornos generales del desarrollo);BUS: 25 , 31 , 138;ENSEÑANZA: Educación Infantil - Primaria;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=68d8a3f5ca71c010VgnVCM1000000b205a0aRCRD;LOS YEBENES;CALLE;V;6;;;;;MADRID;MADRID;28047;ALUCHE;LATINA;436005;4472352;4.039.743.593.771.220;-3.755.392.529.137.970;917 183 389;917 199 055;;/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPublicos;AYUNTAMIENTO;Lunes-Viernes CONTINUA;9:00-16:00;Actividades extraescolares 16:00-17:00;-;III;2;SI;SI (patio infantil);-;NO;SI (zona de sombra con árboles);Canastas, porterías;NO;3205,56;-;;;Comparte espacios con una escuela infantil independiente. 
