idPerson,dateTime,idDateTime,idAccident,street,streetID,district,idDistrict,wikidata_URI,accident_type,weather_status,bicycle_is_electronic,person_type,age_range,sex,hospitalized,coordinate_x_utm,coordinate_y_utm,positive_alcohol
2019S003283,2019-01-11T16:00:00+02:00,201901111600000200,2019011116000002002019S003283,GRAN VIA,GRANVIA,Centro,CENTRO,https://www.wikidata.org/wiki/Q1763376,Frontal-lateral collision,Clear,0,Driver,25 - 29,Man,0,439.942.934,4.474.788.750,0
2019S003306,2019-01-16T09:00:00+02:00,20190116900000200,201901169000002002019S003306,AVDA. DAROCA,AVDADAROCA,Ciudad Lineal,CIUDADLINEAL,https://www.wikidata.org/wiki/Q1763694,Frontal-lateral collision,Clear,0,Driver,35 - 39,Man,1,446.159.016,4.474.638.061,0
2019S003364,2019-01-12T13:03:00+02:00,201901121303000200,2019011213030002002019S003364,AVDA. ENSANCHE DE VALLECAS,AVDAENSANCHEDEVALLECAS,Villa de Vallecas,VILLADEVALLECAS,https://www.wikidata.org/wiki/Q1947988,Frontal-lateral collision,NULL,0,Driver,15 - 17,Woman,0,448.350.971,4.468.767.824,0
2019S003463,2019-01-14T22:45:00+02:00,201901142245000200,2019011422450002002019S003463,MIGUEL ANGEL,MIGUELANGEL,Chamberí,CHAMBERI,https://www.wikidata.org/wiki/Q1763370,Frontal-lateral collision,NULL,0,Driver,25 - 29,Man,NULL,441.368.335,4.476.287.483,0
2019S003662,2019-01-17T06:00:00+02:00,20190117600000200,201901176000002002019S003662,DOCE DE OCTUBRE,DOCEDEOCTUBRE,Retiro,RETIRO,https://www.wikidata.org/wiki/Q2002296,Crash against fixed obstacle,Clear,0,Driver,18 - 20,Man,1,442.783.223,4.474.144.945,0
2019S003749,2019-01-16T15:20:00+02:00,201901161520000200,2019011615200002002019S003749,PLAZA. CONDE DEL VALLE DE SUCHIL,PLAZACONDEDELVALLEDESUCHIL,Chamberí,CHAMBERI,https://www.wikidata.org/wiki/Q1763370,Fall,Clear,0,Driver,55 - 59,Woman,0,439.979.228,4.475.787.600,0
2019S004134,2019-01-14T20:20:00+02:00,201901142020000200,2019011420200002002019S004134,PASEO. EL PARDO,PASEOELPARDO,Fuencarral-El Pardo,FUENCARRALELPARDO,https://www.wikidata.org/wiki/Q656196,Fall,Clear,0,Driver,40 - 44,Man,1,434.035.836,4.486.268.312,0
2019S004151,2019-01-17T16:15:00+02:00,201901171615000200,2019011716150002002019S004151,SERRANO,SERRANO,Chamartín,CHAMARTIN,https://www.wikidata.org/wiki/Q1766348,Scope,Clear,0,Driver,45 - 49,Woman,0,441.850.714,4.477.304.341,0
2019S004271,2019-01-18T18:05:00+02:00,201901181805000200,2019011818050002002019S004271,AVDA. FERMINA SEVILLANO,AVDAFERMINASEVILLANO,San Blas,SANBLAS,https://www.wikidata.org/wiki/Q2001937,Frontal collision,NULL,0,Driver,45 - 49,Man,NULL,451.549.039,4.477.091.339,1
2019S004528,2019-01-19T21:10:00+02:00,201901192110000200,2019011921100002002019S004528,PLAZA. INDEPENDENCIA,PLAZAINDEPENDENCIA,Salamanca,SALAMANCA,https://www.wikidata.org/wiki/Q1773521,Frontal-lateral collision,Light rain,0,Driver,25 - 29,Man,1,441.529.911,4.474.604.135,0
