Gis_X,Gis_Y,Distrito,Barrio,Número de Plazas,Longitud,Latitud,Direccion
"440480,69","4476228,15",7  CHAMBERÍ,07-03 TRAFALGAR,24,-3.7017424,40.4345672,"GENERAL ALVAREZ DE CASTRO, CALLE, DEL, 4"
"439915,53","4476159,21",7  CHAMBERÍ,07-02 ARAPILES,24,-3.7083987,40.4339055,"FERNANDO EL CATOLICO, CALLE, DE, 19"
"439313,53","4476733,24",7  CHAMBERÍ,07-01 GAZTAMBIDE,24,-3.7155506,40.4390329,"CEA BERMUDEZ, CALLE, DE, 59"
"439301,59","4476734,02",7  CHAMBERÍ,07-01 GAZTAMBIDE,3,-3.7156915,40.4390391,"CEA BERMUDEZ, CALLE, DE, 59"
"440777,63","4476658,85",7  CHAMBERÍ,07-05 RÍOS ROSAS,24,-3.6982818,40.4384684,"JOSE ABASCAL, CALLE, DE, 33"
"440489,99","4477022,03",7  CHAMBERÍ,07-05 RÍOS ROSAS,20,-3.7017071,40.4417195,"SANTA ENGRACIA, CALLE, DE, 129"
"440293,7","4477027,45",7  CHAMBERÍ,07-05 RÍOS ROSAS,24,-3.704022,40.4417543,"BRAVO MURILLO, CALLE, DE, 44"
"440334,34","4477541,61",7  CHAMBERÍ,07-05 RÍOS ROSAS,24,-3.7035911,40.4463889,"SANTA ENGRACIA, CALLE, DE, 168"
"440637,08","4477625,61",6  TETUÁN,06-02 CUATRO CAMINOS,24,-3.7000292,40.4471673,"DULCINEA, CALLE, DE, 3"
"441017,45","4477274,01",7  CHAMBERÍ,07-05 RÍOS ROSAS,24,-3.6955114,40.444027,"MARIA DE GUZMAN, CALLE, DE, 58"
"441237,54","4476990,04",7  CHAMBERÍ,07-05 RÍOS ROSAS,24,-3.6928901,40.4414845,"SAN JUAN DE LA CRUZ, PLAZA, DE, S/N"
"441417,02","4477410,33",5  CHAMARTÍN,05-01 EL VISO,24,-3.6908127,40.4452833,"CASTELLANA, PASEO, DE LA, 106"
"441885,33","4477430,27",5  CHAMARTÍN,05-01 EL VISO,24,-3.6852925,40.4454958,"REPUBLICA ARGENTINA, PLAZA, DE LA, 6"
"441352,15","4477455,81",7  CHAMBERÍ,07-05 RÍOS ROSAS,24,-3.6915818,40.4456884,"CASTELLANA, PASEO, DE LA, frente 108"
"441442,67","4476752,13",5  CHAMARTÍN,05-01 EL VISO,24,-3.6904495,40.4393558,"JOSE GUTIERREZ ABASCAL, CALLE, DE, S/N"
"442081,95","4476666,37",5  CHAMARTÍN,05-01 EL VISO,24,-3.6829045,40.438628,"VELAZQUEZ, CALLE, DE, 134"
"442081,16","4476654,37",5  CHAMARTÍN,05-01 EL VISO,3,-3.6829127,40.4385198,"VELAZQUEZ, CALLE, DE, 134"
"441537,59","4476315,08",7  CHAMBERÍ,07-04 ALMAGRO,12,-3.6892902,40.4354253,"CASTELLANA, PASEO, DE LA, 43"
"441641,97","4476103,45",4  SALAMANCA,04-06 CASTELLANA,24,-3.6880402,40.4335262,"CASTELLANA, PASEO, DE LA, S/N"
"442474,52","4476217,99",4  SALAMANCA,04-05 LISTA,24,-3.6782355,40.434616,"DIEGO DE LEON, CALLE, DE, 54"
"442707,74","4475961,24",4  SALAMANCA,04-05 LISTA,24,-3.6754628,40.4323192,"JUAN BRAVO, CALLE, DE, 50"
"443050,11","4475675,85",4  SALAMANCA,04-05 LISTA,24,-3.671401,40.4297717,"JOSE ORTEGA Y GASSET, CALLE, DE, 87"
"442435,7","4477286,68",5  CHAMARTÍN,05-01 EL VISO,18,-3.67879,40.4442406,"MARIA FRANCISCA, CALLE, DE, 1"
"442372,1","4477741,71",5  CHAMARTÍN,05-01 EL VISO,24,-3.6795811,40.4483353,"DOCTOR ARCE, AVENIDA, DEL, 45"
"442194,78","4478041,13",5  CHAMARTÍN,05-01 EL VISO,24,-3.6816993,40.4510203,"SERRANO, CALLE, DE, 210"
"441672,11","4477914,69",5  CHAMARTÍN,05-01 EL VISO,24,-3.6878512,40.4498448,"LA HABANA, PASEO, DE, 42"
"441443,38","4477835,19",5  CHAMARTÍN,05-01 EL VISO,24,-3.690541,40.4491125,"CASTELLANA, PASEO, DE LA, S/N"
"441047,89","4477810,45",6  TETUÁN,06-02 CUATRO CAMINOS,24,-3.6952023,40.4488617,"ORENSE, CALLE, DE, 10"
"440733,5","4478240,82",6  TETUÁN,06-02 CUATRO CAMINOS,24,-3.6989497,40.4527163,"GENERAL PERON, AVENIDA, DEL, frente 4"
"441230,1","4478196,25",6  TETUÁN,06-02 CUATRO CAMINOS,24,-3.6930894,40.45235,"GENERAL PERON, AVENIDA, DEL, frente 36"
"441097,89","4478466,69",6  TETUÁN,06-02 CUATRO CAMINOS,24,-3.6946736,40.4547769,"ORENSE, CALLE, DE, 36"
"440575,2","4478749,38",6  TETUÁN,06-02 CUATRO CAMINOS,24,-3.700864,40.4572863,"SAN GERMÁN, CALLE, DE, 55"
"441385,88","4478959,93",6  TETUÁN,06-03 CASTILLEJOS,24,-3.6913229,40.4592406,"SOR ANGELA DE LA CRUZ, CALLE, DE, 2"
"441554,84","4478963,2",5  CHAMARTÍN,05-05 NUEVA ESPAÑA,24,-3.6893305,40.459282,"CASTELLANA, PASEO, DE LA, S/N"
"441946,46","4478886,67",5  CHAMARTÍN,05-04 HISPANOAMÉRICA,24,-3.6847049,40.45862,"ALBERTO ALCOCER, AVENIDA, DE, 22 A"
"442024,96","4478401,51",5  CHAMARTÍN,05-04 HISPANOAMÉRICA,24,-3.6837348,40.4542549,"LA HABANA, PASEO, DE, 63"
