Nombre_distrito;Nº_Distrito;NOMBRE_ESPECIE;Nº_Unidades 2021
Centro;01;Ligustrum japonicum;2528
Centro;01;Styphnolobium japonicum;1573
Centro;01;Platanus x hispanica;1419
Centro;01;Aesculus hippocastanum;508
Centro;01;Pyrus calleryana 'Chanticleer';371
Centro;01;Ulmus pumila;355
Centro;01;Prunus cerasifera  subsp. pissardii;349
Centro;01;Robinia pseudoacacia;289
Centro;01;Cercis siliquastrum;298
Centro;01;Otros;3899
;;Total;11589
Arganzuela;02;Platanus x hispanica;3448
Arganzuela;02;Styphnolobium japonicum;2370
Arganzuela;02;Celtis australis;1590
Arganzuela;02;Pinus pinea;1282
Arganzuela;02;Ligustrum japonicum;1265
Arganzuela;02;Ulmus pumila;1262
Arganzuela;02;Robinia pseudoacacia;1244
Arganzuela;02;Acer negundo;1186
Arganzuela;02;Melia azedarach;1083
Arganzuela;02;Prunus cerasifera  subsp. pissardii;694
Arganzuela;02;Gleditsia triacanthos;666
Arganzuela;02;Otros;7605
;;Total;23695
Retiro;03;Platanus x hispanica;2577
Retiro;03;Styphnolobium japonicum;2354
Retiro;03;Ulmus pumila;1913
Retiro;03;Ligustrum japonicum;915
Retiro;03;Pinus pinea;789
Retiro;03;Robinia pseudoacacia;571
Retiro;03;Celtis australis;477
Retiro;03;Cupressus sempervirens;416
Retiro;03;Cupressus x leylandii;413
Retiro;03;Liquidambar styraciflua;360
Retiro;03;Cupressus arizonica;336
Retiro;03;Prunus cerasifera  subsp. pissardii;298
Retiro;03;Aesculus hippocastanum;297
Retiro;03;Otros;2871
;;Total;14587
Salamanca;04;Styphnolobium japonicum;5824
Salamanca;04;Platanus x hispanica;2403
Salamanca;04;Ligustrum japonicum;1817
Salamanca;04;Ulmus pumila;864
Salamanca;04;Pinus pinea;760
Salamanca;04;Aesculus hippocastanum;664
Salamanca;04;Robinia pseudoacacia;555
Salamanca;04;Prunus cerasifera  subsp. pissardii;516
Salamanca;04;Acer negundo;390
Salamanca;04;Populus alba 'Bolleana';348
Salamanca;04;Otros;5732
;;Total;19873
CHAMARTÍN;05;Platanus x hispanica;6043
CHAMARTÍN;05;Styphnolobium japonicum;3720
CHAMARTÍN;05;Ulmus pumila;2569
CHAMARTÍN;05;Pinus pinea;1292
CHAMARTÍN;05;Celtis australis;1170
CHAMARTÍN;05;Robinia pseudoacacia;1133
CHAMARTÍN;05;Prunus cerasifera  subsp. pissardii;932
CHAMARTÍN;05;Ligustrum japonicum;921
