identifier,location_code,location_name
http://www.group22.org/gz/resource/Location/L1,1,CALLE DE BAILEN NUM 15
http://www.group22.org/gz/resource/Location/L2,2,CALLE DE BAILEN NUM 6
http://www.group22.org/gz/resource/Location/L3,3,CALLE DEL MESON DE PAREDES, NUM. 37 C/V C/ DE AMPARO NUM 26
http://www.group22.org/gz/resource/Location/L4,4,CALLE MESON DE PAREDES NUM 68
http://www.group22.org/gz/resource/Location/L5,5,CALLE DE SEGOVIA NUM 12
http://www.group22.org/gz/resource/Location/L6,6,CALLE DE SEGOVIA, Nº 21-23 Y C/ DE LA MORERÍA, Nº 28
http://www.group22.org/gz/resource/Location/L7,7,CALLE DE SEGOVIA, Nº27 C/V CUESTA DE LOS CIEGOS
http://www.group22.org/gz/resource/Location/L8,8,CALLE DE SEGOVIA C/V CUESTA DE LA VEGA
http://www.group22.org/gz/resource/Location/L9,9,CALLE DE SEGOVIA, Nº 31 Y 37 C/V CUESTA DE JAVALQUINTO
http://www.group22.org/gz/resource/Location/L10,10,CALLE DE SEGOVIA NUM 35
http://www.group22.org/gz/resource/Location/L11,11,RONDA DE SEGOVIA NUM 9
http://www.group22.org/gz/resource/Location/L12,12,PLAZA DE GABRIEL MIRO
http://www.group22.org/gz/resource/Location/L13,13,CUESTA DE LOS CIEGOS
http://www.group22.org/gz/resource/Location/L14,14,CALLE DE BEATRIZ GALINDO NUM 3
http://www.group22.org/gz/resource/Location/L15,15,CUESTA DE LOS CIEGOS NUM 3
http://www.group22.org/gz/resource/Location/L16,16,CUESTA DE LOS CIEGOS NUM 5
http://www.group22.org/gz/resource/Location/L17,17,CUESTA DE JAVALQUINTO NUM 5
http://www.group22.org/gz/resource/Location/L18,18,CUESTA DE JAVALQUINTO NUM 7
http://www.group22.org/gz/resource/Location/L19,19,CALLE DE LA MORERIA NUM 12
http://www.group22.org/gz/resource/Location/L20,20,CALLE DE LA MORERIA NUM 22
http://www.group22.org/gz/resource/Location/L21,21,CUESTA DE LOS CIEGOS C/V C/ DE BEATRIZ GALINDO
http://www.group22.org/gz/resource/Location/L22,22,CALLE DE BARCELÓ
http://www.group22.org/gz/resource/Location/L23,23,CALLE DE FUENCARRAL NUM 43
http://www.group22.org/gz/resource/Location/L24,24,CALLE DE LA ALAMEDA NUM 12
http://www.group22.org/gz/resource/Location/L25,25,RONDA SEGOVIA NUM 57
http://www.group22.org/gz/resource/Location/L26,26,RONDA SEGOVIA NUM 9
http://www.group22.org/gz/resource/Location/L27,27,CALLE DE JERTE NUM 3
http://www.group22.org/gz/resource/Location/L28,28,CALLE DEL MESÓN DE PAREDES NUM 63
http://www.group22.org/gz/resource/Location/L29,29,CALLE DE ALGECIRAS NUM 8
http://www.group22.org/gz/resource/Location/L30,30,CALLE DE ALGECIRAS NUM 4-6
http://www.group22.org/gz/resource/Location/L31,31,CALLE DEL ROSARIO C/V C/ DE JERTE
http://www.group22.org/gz/resource/Location/L32,32,AVENIDA DE LA GRAN VIA DE SAN FRANCISCO NUM 19-21
http://www.group22.org/gz/resource/Location/L33,33,CALLE DEL CASINO NUM 3 Y 5
http://www.group22.org/gz/resource/Location/L34,34,CALLE DE EMBAJADORES NUM 66 B
http://www.group22.org/gz/resource/Location/L35,35,CALLE DEL SOMBRERETE NUM 15
http://www.group22.org/gz/resource/Location/L36,36,PLAZA DEL GENERAL VARA DEL REY
http://www.group22.org/gz/resource/Location/L37,37,PASEO DE LAS YESERIAS
http://www.group22.org/gz/resource/Location/L38,38,CALLE DEL CONCEJAL BENITO MARTÍN LOZANO NUM 9
http://www.group22.org/gz/resource/Location/L39,39,CALLE DE SAN ISIDORO DE SEVILLA NUM 15 B
http://www.group22.org/gz/resource/Location/L40,40,PASEO DE LAS YESERIAS NUM 43-49
http://www.group22.org/gz/resource/Location/L41,41,CALLE DE CARMEN COBEÑA NUM 5 B
http://www.group22.org/gz/resource/Location/L42,42,CALLE DE EROS NUM 6
http://www.group22.org/gz/resource/Location/L43,43,CALLE DE VILLOSLADA NUM 5-11
http://www.group22.org/gz/resource/Location/L44,44,CALLE DE SAN EPIFANIO NUM 9
