identifier,archive_number,district,type,location,destinatation,solar_m2
http://www.group22.org/gz/resource/GreenZones/300000,300000,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L1,http://www.group22.org/gz/resource/Destinatation/DES1,5025.42
http://www.group22.org/gz/resource/GreenZones/300001,300001,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L2,http://www.group22.org/gz/resource/Destinatation/DES2,26814.0
http://www.group22.org/gz/resource/GreenZones/300002,300002,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L3,http://www.group22.org/gz/resource/Destinatation/DES1,2979.2
http://www.group22.org/gz/resource/GreenZones/300003,300003,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L4,http://www.group22.org/gz/resource/Destinatation/DES1,1637.34
http://www.group22.org/gz/resource/GreenZones/300004,300004,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L5,http://www.group22.org/gz/resource/Destinatation/DES3,172.9
http://www.group22.org/gz/resource/GreenZones/300005,300005,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L6,http://www.group22.org/gz/resource/Destinatation/DES4,5462.95
http://www.group22.org/gz/resource/GreenZones/300006,300006,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L7,http://www.group22.org/gz/resource/Destinatation/DES5,1001.53
http://www.group22.org/gz/resource/GreenZones/300007,300007,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L8,http://www.group22.org/gz/resource/Destinatation/DES6,106811.18
http://www.group22.org/gz/resource/GreenZones/300008,300008,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L9,http://www.group22.org/gz/resource/Destinatation/DES7,1999.63
http://www.group22.org/gz/resource/GreenZones/300009,300009,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L10,http://www.group22.org/gz/resource/Destinatation/DES8,1374.79
http://www.group22.org/gz/resource/GreenZones/300010,300010,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L11,http://www.group22.org/gz/resource/Destinatation/DES1,654.66
http://www.group22.org/gz/resource/GreenZones/300011,300011,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L12,http://www.group22.org/gz/resource/Destinatation/DES9,12346.82
http://www.group22.org/gz/resource/GreenZones/300012,300012,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L13,http://www.group22.org/gz/resource/Destinatation/DES1,77.08
http://www.group22.org/gz/resource/GreenZones/300013,300013,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L14,http://www.group22.org/gz/resource/Destinatation/DES1,496.08
http://www.group22.org/gz/resource/GreenZones/300014,300014,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L15,http://www.group22.org/gz/resource/Destinatation/DES1,776.35
http://www.group22.org/gz/resource/GreenZones/300015,300015,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L16,http://www.group22.org/gz/resource/Destinatation/DES1,539.0
http://www.group22.org/gz/resource/GreenZones/300016,300016,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L17,http://www.group22.org/gz/resource/Destinatation/DES1,745.85
http://www.group22.org/gz/resource/GreenZones/300017,300017,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L18,http://www.group22.org/gz/resource/Destinatation/DES1,451.49
http://www.group22.org/gz/resource/GreenZones/300018,300018,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L19,http://www.group22.org/gz/resource/Destinatation/DES1,1099.58
http://www.group22.org/gz/resource/GreenZones/300019,300019,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L20,http://www.group22.org/gz/resource/Destinatation/DES1,939.95
http://www.group22.org/gz/resource/GreenZones/300020,300020,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L21,http://www.group22.org/gz/resource/Destinatation/DES1,471.75
http://www.group22.org/gz/resource/GreenZones/300021,300021,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L22,http://www.group22.org/gz/resource/Destinatation/DES10,13461.43
http://www.group22.org/gz/resource/GreenZones/300027,300027,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L23,http://www.group22.org/gz/resource/Destinatation/DES1,710.4
http://www.group22.org/gz/resource/GreenZones/300022,300022,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L24,http://www.group22.org/gz/resource/Destinatation/DES11,463.0
http://www.group22.org/gz/resource/GreenZones/300023,300023,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L25,http://www.group22.org/gz/resource/Destinatation/DES12,2120.0
http://www.group22.org/gz/resource/GreenZones/300024,300024,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L26,http://www.group22.org/gz/resource/Destinatation/DES1,704.65
http://www.group22.org/gz/resource/GreenZones/300025,300025,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L27,http://www.group22.org/gz/resource/Destinatation/DES1,395.35
http://www.group22.org/gz/resource/GreenZones/300026,300026,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L28,http://www.group22.org/gz/resource/Destinatation/DES13,1128.38
http://www.group22.org/gz/resource/GreenZones/300028,300028,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L29,http://www.group22.org/gz/resource/Destinatation/DES14,372.3
http://www.group22.org/gz/resource/GreenZones/300029,300029,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L30,http://www.group22.org/gz/resource/Destinatation/DES1,920.5
http://www.group22.org/gz/resource/GreenZones/300030,300030,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L31,http://www.group22.org/gz/resource/Destinatation/DES15,14193.99
http://www.group22.org/gz/resource/GreenZones/301048,301048,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L32,http://www.group22.org/gz/resource/Destinatation/DES16,3385.55
http://www.group22.org/gz/resource/GreenZones/301077,301077,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L33,http://www.group22.org/gz/resource/Destinatation/DES17,3098.0
http://www.group22.org/gz/resource/GreenZones/301216,301216,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L34,http://www.group22.org/gz/resource/Destinatation/DES18,7343.75
http://www.group22.org/gz/resource/GreenZones/301253,301253,http://www.group22.org/gz/resource/District/D1,http://www.group22.org/gz/resource/GreenZone/G1,http://www.group22.org/gz/resource/Location/L35,http://www.group22.org/gz/resource/Destinatation/DES19,207.21
