Identifiant station,Nom station,Station en fonctionnement,Capacité de la station,Nombre bornettes libres,Nombre total vélos disponibles,Vélos mécaniques disponibles,Vélos électriques disponibles,Borne de paiement disponible,Retour vélib possible,Actualisation de la donnée,Coordonnées géographiques 1,Coordonnées géographiques 2,Nom communes équipées,same_as_wikidata_communes
9020,Toudouze - Clauzel,true,21,19,1,0,1,false,true,2022-10-05T09:58:36Z,48.87929591733507,2.3373600840568547,Paris,https://www.wikidata.org/wiki/Q90
16107,Benjamin Godard - Victor Hugo,true,35,8,26,15,11,true,true,2022-10-05T07:59:42Z,48.865983,2.275725,Paris,https://www.wikidata.org/wiki/Q90
10013,Alibert - Jemmapes,true,60,49,7,2,5,true,true,2022-10-05T08:00:45Z,48.8710440519842,2.366104461987773,Paris,https://www.wikidata.org/wiki/Q90
31104,Mairie de Rosny-sous-Bois,true,30,18,11,2,9,true,true,2022-10-05T07:56:50Z,48.871256519012,2.4865807592869,Rosny-sous-Bois,https://www.wikidata.org/wiki/Q275547
8026,Messine - Place Du Pérou,true,12,2,10,5,5,true,true,2022-10-05T08:00:28Z,48.875448033960744,2.315508019010038,Paris,https://www.wikidata.org/wiki/Q90
11104,Charonne - Robert et Sonia Delauney,true,20,16,2,0,2,true,true,2022-10-05T08:00:40Z,48.85590755596891,2.3925706744194035,Paris,https://www.wikidata.org/wiki/Q90
5001,Harpe - Saint-Germain,true,45,41,4,3,1,true,true,2022-10-05T07:57:06Z,48.851518815017,2.3436703160405,Paris,https://www.wikidata.org/wiki/Q90
12109,Mairie du 12ème,true,30,24,5,2,3,true,true,2022-10-05T08:00:53Z,48.840855311763,2.3875549435616,Paris,https://www.wikidata.org/wiki/Q90
13007,Le Brun - Gobelins,true,48,38,5,4,1,true,true,2022-10-05T08:00:30Z,48.835092787823875,2.353468135133752,Paris,https://www.wikidata.org/wiki/Q90
14111,Cassini - Denfert-Rochereau,true,25,9,15,10,5,true,true,2022-10-05T08:00:06Z,48.837525839067,2.3360354080796,Paris,https://www.wikidata.org/wiki/Q90
41301,Bois de Vincennes - Gare,true,50,16,31,25,6,true,true,2022-10-05T07:58:41Z,48.836022242886884,2.4708339950830287,Nogent-sur-Marne,https://www.wikidata.org/wiki/Q212274
14014,Jourdan - Stade Charléty,true,60,58,2,2,0,true,true,2022-10-05T08:01:03Z,48.819428333369,2.3433353751898,Paris,https://www.wikidata.org/wiki/Q90
6021,Beaux-Arts - Bonaparte,true,20,0,20,12,8,true,true,2022-10-05T08:00:36Z,48.856451985395786,2.334851883351803,Paris,https://www.wikidata.org/wiki/Q90
6003,Saint-Sulpice,true,21,14,7,5,2,true,true,2022-10-05T07:56:12Z,48.85165383178419,2.3308077827095985,Paris,https://www.wikidata.org/wiki/Q90
17026,Jouffroy d'Abbans - Wagram,true,40,36,2,0,2,true,true,2022-10-05T07:56:28Z,48.881973298351625,2.301132157444954,Paris,https://www.wikidata.org/wiki/Q90
5110,Lacépède - Monge,true,23,18,2,0,2,true,true,2022-10-05T07:58:21Z,48.84389286531899,2.3519663885235786,Paris,https://www.wikidata.org/wiki/Q90
17038,Grande Armée - Brunel,true,62,39,10,4,6,true,true,2022-10-05T08:00:51Z,48.876116,2.288124,Paris,https://www.wikidata.org/wiki/Q90
6108,Saint-Romain - Cherche-Midi,true,17,10,5,4,1,true,true,2022-10-05T07:59:18Z,48.84708159081946,2.321374788880348,Paris,https://www.wikidata.org/wiki/Q90
7002,Vaneau - Sèvres,true,35,23,11,3,8,true,true,2022-10-05T08:00:14Z,48.84856323305935,2.3204218259345537,Paris,https://www.wikidata.org/wiki/Q90
33006,André Karman - République,true,31,19,8,2,6,true,true,2022-10-05T07:57:01Z,48.91039875761846,2.3851355910301213,Aubervilliers,https://www.wikidata.org/wiki/Q205632
5016,Thouin - Cardinal Lemoine,true,17,11,6,4,2,true,true,2022-10-05T07:58:55Z,48.84504716661511,2.3494647851273465,Paris,https://www.wikidata.org/wiki/Q90
42016,Pierre et Marie Curie - Maurice Thorez,true,27,23,4,2,2,true,true,2022-10-05T08:00:55Z,48.81580226360801,2.376804985105991,Ivry-sur-Seine,https://www.wikidata.org/wiki/Q193877
11025,Froment - Bréguet,true,43,33,7,4,3,true,true,2022-10-05T08:00:53Z,48.8570414504784,2.37289470306807,Paris,https://www.wikidata.org/wiki/Q90
21010,Silly - Galliéni,true,25,8,17,12,5,true,true,2022-10-05T08:00:03Z,48.835583838706,2.2325500845909,Boulogne-Billancourt,https://www.wikidata.org/wiki/Q172455
14108,Le Brix et Mesmin - Jourdan,true,21,21,0,0,0,true,true,2022-10-05T07:55:56Z,48.82234096593411,2.327861653302471,Paris,https://www.wikidata.org/wiki/Q90
25006,Place Nelson Mandela,true,22,21,1,0,1,true,true,2022-10-05T07:59:10Z,48.862090937689715,2.196576297283173,Rueil-Malmaison,https://www.wikidata.org/wiki/Q193920
17044,Porte de Saint-Ouen - Bessières,true,42,37,3,3,0,true,true,2022-10-05T07:59:37Z,48.89792240854517,2.32851451022192,Paris,https://www.wikidata.org/wiki/Q90
17025,Chazelles - Courcelles,true,35,17,15,9,6,true,true,2022-10-05T07:59:24Z,48.879406604954,2.3034455627202988,Paris,https://www.wikidata.org/wiki/Q90
17041,Guersant - Gouvion-Saint-Cyr,true,36,13,23,22,1,true,true,2022-10-05T08:00:14Z,48.88287775178599,2.287667370814871,Paris,https://www.wikidata.org/wiki/Q90
8050,Boétie - Ponthieu,true,33,1,30,16,14,true,true,2022-10-05T07:59:25Z,48.871417284354834,2.307678759098053,Paris,https://www.wikidata.org/wiki/Q90
7003,Square Boucicaut,true,60,16,44,26,18,true,true,2022-10-05T07:56:56Z,48.851296433665276,2.325061820447445,Paris,https://www.wikidata.org/wiki/Q90
16138,Saint-Cloud - Hippodrome,true,30,23,4,3,1,true,true,2022-10-05T07:57:25Z,48.85772148887421,2.2549109905958176,Paris,https://www.wikidata.org/wiki/Q90
7001,Invalides - Duroc,true,29,26,3,3,0,false,false,2022-09-26T05:26:39Z,48.847792473295,2.3161920905113,Paris,https://www.wikidata.org/wiki/Q90
15068,Général Martial Valin - Pont du Garigliano,true,16,1,14,1,13,true,true,2022-10-05T08:00:40Z,48.83823094269141,2.270506024360657,Paris,https://www.wikidata.org/wiki/Q90
15047,Morillons - Dantzig,true,52,50,2,2,0,true,true,2022-10-05T08:01:02Z,48.83310149953933,2.299380004405976,Paris,https://www.wikidata.org/wiki/Q90
7004,Raspail - Varenne,true,18,2,16,13,3,true,true,2022-10-05T08:00:50Z,48.85314781654488,2.3263905197381973,Paris,https://www.wikidata.org/wiki/Q90
13101,Croulebarde - Corvisart,true,34,11,23,19,4,true,true,2022-10-05T08:00:23Z,48.830981659316855,2.3481646925210953,Paris,https://www.wikidata.org/wiki/Q90
13030,Italie - Tolbiac,true,21,19,2,1,1,true,true,2022-10-05T07:58:28Z,48.82557229464416,2.3576171323657036,Paris,https://www.wikidata.org/wiki/Q90
31024,Romainville - Vaillant-Couturier,true,38,31,7,1,6,true,true,2022-10-05T08:00:57Z,48.86785,2.446748,Montreuil,https://www.wikidata.org/wiki/Q193370
92002,Théâtre des Amandiers - Palais des sports,true,24,10,12,4,8,true,true,2022-10-05T07:55:40Z,48.89264852683893,2.2136941552162175,Nanterre,https://www.wikidata.org/wiki/Q170507
15026,Bir Hakeim,true,33,4,29,25,4,true,true,2022-10-05T08:00:58Z,48.853844054333514,2.289705348222022,Paris,https://www.wikidata.org/wiki/Q90
19027,Serrurier,true,18,17,0,0,0,true,true,2022-10-05T07:59:50Z,48.8804934032465,2.39806417375803,Paris,https://www.wikidata.org/wiki/Q90
47007,Liberté - Vert-de-Maisons,true,20,1,18,4,14,true,true,2022-10-05T07:58:37Z,48.79014780960843,2.43286281824112,Maisons-Alfort,https://www.wikidata.org/wiki/Q208314
31028,Raspail Barbès,true,28,9,18,9,9,true,true,2022-10-05T08:00:54Z,48.8529945,2.4247387,Montreuil,https://www.wikidata.org/wiki/Q193370
19033,Cambrai - Benjamin Constant,true,43,33,6,5,1,true,true,2022-10-05T08:01:02Z,48.89594736851349,2.381133802246315,Paris,https://www.wikidata.org/wiki/Q90
2017,Caire - Dussoubs,true,40,33,7,3,4,true,true,2022-10-05T08:00:13Z,48.86785342111862,2.349364310503006,Paris,https://www.wikidata.org/wiki/Q90
20143,Ramponeau - Belleville,true,44,38,5,0,5,true,true,2022-10-05T07:59:38Z,48.871031137596,2.379056852114,Paris,https://www.wikidata.org/wiki/Q90
14013,Liard - Amiral Mouchez,true,14,12,2,0,2,true,true,2022-10-05T07:52:43Z,48.8214169,2.342167,Paris,https://www.wikidata.org/wiki/Q90
43002,Lagny - Victor Basch,true,26,1,25,13,12,true,true,2022-10-05T08:00:45Z,48.84884147189881,2.426325418925233,Vincennes,https://www.wikidata.org/wiki/Q193819
18111,Félix Ziem - Armand Gauthier,true,25,24,1,0,1,true,true,2022-10-05T07:59:41Z,48.88949630486821,2.333393658804396,Paris,https://www.wikidata.org/wiki/Q90
21216,Louis Lejeune - Barbès,true,25,21,4,1,3,true,true,2022-10-05T08:01:07Z,48.81807418981508,2.3267009854316716,Montrouge,https://www.wikidata.org/wiki/Q241021
48003,Youri Gagarine - Karl Marx,true,22,19,3,0,3,true,true,2022-10-05T07:52:18Z,48.78448485079149,2.35908430069685,Villejuif,https://www.wikidata.org/wiki/Q128466
22207,Rond-point du Dr Albert Schweitzer,true,22,6,16,11,5,true,true,2022-10-05T07:56:48Z,48.78980918988166,2.3143940046429634,Bagneux,https://www.wikidata.org/wiki/Q161884
16110,Octave Feuillet - Albéric Magnard,true,21,8,13,6,7,true,true,2022-10-05T07:58:10Z,48.86106902949534,2.2730283066630363,Paris,https://www.wikidata.org/wiki/Q90
6029,Vaugirard - Monsieur le Prince,true,26,9,17,5,12,true,true,2022-10-05T08:00:15Z,48.848951441614176,2.3411329463124275,Paris,https://www.wikidata.org/wiki/Q90
18134,Ney - Porte de Clignancourt,true,25,24,1,1,0,true,true,2022-10-05T07:56:53Z,48.8978867,2.3458001,Paris,https://www.wikidata.org/wiki/Q90
17048,De Toqueville - Terrasse,true,30,24,6,4,2,true,true,2022-10-05T07:59:14Z,48.882428,2.314002,Paris,https://www.wikidata.org/wiki/Q90
14002,Edgar Quinet - Raspail,true,46,41,5,3,2,true,true,2022-10-05T07:59:05Z,48.83940266673835,2.32971478253603,Paris,https://www.wikidata.org/wiki/Q90
44017,Jules Guesde - Pont du Port à l'Anglais,true,30,0,28,24,4,true,true,2022-10-05T08:00:33Z,48.79628807093802,2.417212128639221,Vitry-sur-Seine,https://www.wikidata.org/wiki/Q72248
9014,Faubourg Montmartre - La Fayette,true,35,18,16,10,6,true,true,2022-10-05T07:59:38Z,48.87525454905335,2.340853661298752,Paris,https://www.wikidata.org/wiki/Q90
16118,Michel-Ange - Parent de Rosan,true,26,24,1,1,0,true,true,2022-10-05T08:00:48Z,48.840579923690115,2.2584119439125065,Paris,https://www.wikidata.org/wiki/Q90
9001,Bellefond - Poissonnière,true,17,14,2,1,1,true,true,2022-10-05T07:59:19Z,48.87759897050706,2.348463758826256,Paris,https://www.wikidata.org/wiki/Q90
9008,Tour d'Auvergne - Rodier,true,17,15,1,0,1,true,true,2022-10-05T07:56:02Z,48.879161,2.343698,Paris,https://www.wikidata.org/wiki/Q90
8016,Square Louis XVI,true,29,1,28,16,12,true,true,2022-10-05T08:00:26Z,48.87320440102894,2.323658830743138,Paris,https://www.wikidata.org/wiki/Q90
8103,Artois - Berri,true,23,0,23,15,8,true,true,2022-10-05T08:00:20Z,48.87393521240818,2.3064258322119713,Paris,https://www.wikidata.org/wiki/Q90
10029,Dunkerque - Rocroy,true,24,18,2,2,0,true,true,2022-10-05T08:00:28Z,48.880726,2.351464,Paris,https://www.wikidata.org/wiki/Q90
8048,Marceau - Chaillot,true,21,3,17,0,17,true,true,2022-10-05T08:00:10Z,48.86883394989261,2.2989967837929726,Paris,https://www.wikidata.org/wiki/Q90
5005,Gay Lussac - Saint-Jacques,true,24,3,21,5,16,true,true,2022-10-05T08:00:30Z,48.844730256132095,2.341923944866407,Paris,https://www.wikidata.org/wiki/Q90
13118,Regnault - Patay,true,63,20,42,33,9,true,true,2022-10-05T08:00:24Z,48.82435782216384,2.377065159380436,Paris,https://www.wikidata.org/wiki/Q90
7018,Ségur - d'Estrées,true,19,4,14,11,3,true,true,2022-10-05T08:00:01Z,48.85141997898257,2.3097044974565506,Paris,https://www.wikidata.org/wiki/Q90
7011,Las Cases - Bourgogne,true,22,1,21,17,4,true,true,2022-10-05T08:00:54Z,48.85909110474066,2.3185685276985173,Paris,https://www.wikidata.org/wiki/Q90
9002,Abbeville - Faubourg Poissonnière,true,14,13,1,0,1,true,true,2022-10-05T08:00:55Z,48.879223,2.349147,Paris,https://www.wikidata.org/wiki/Q90
43009,Place Jean-Spire-Lemaître,true,50,47,3,0,3,true,true,2022-10-05T07:51:22Z,48.8468428626593,2.452062070369721,Vincennes,https://www.wikidata.org/wiki/Q193819
8053,Place Georges Guillaumin,true,29,3,26,9,17,true,true,2022-10-05T07:59:56Z,48.874750203956566,2.301771435325988,Paris,https://www.wikidata.org/wiki/Q90
17032,Jean Oestreicher - Porte de Champerret,true,21,19,2,1,1,true,true,2022-10-05T07:56:59Z,48.88655580065981,2.288640439510346,Paris,https://www.wikidata.org/wiki/Q90
17040,Pereire - Ternes,true,48,38,10,5,5,true,true,2022-10-05T08:01:01Z,48.87973954830735,2.288012132048607,Paris,https://www.wikidata.org/wiki/Q90
10162,Alexandre Parodi - Quai de Valmy,true,24,21,1,0,1,true,true,2022-10-05T07:59:58Z,48.87935941942529,2.366596162319184,Paris,https://www.wikidata.org/wiki/Q90
19105,Ambroise Rendu - Porte Brunet,true,17,17,0,0,0,true,true,2022-10-05T07:56:39Z,48.883667,2.395733,Paris,https://www.wikidata.org/wiki/Q90
10115,Granges aux Belles,true,27,23,4,1,3,true,true,2022-10-05T08:00:54Z,48.8761373390584,2.3680844979417,Paris,https://www.wikidata.org/wiki/Q90
31103,Gare Rosny-Bois-Perrier,true,36,34,1,0,1,true,true,2022-10-05T07:58:53Z,48.88115023337061,2.480436824262142,Rosny-sous-Bois,https://www.wikidata.org/wiki/Q275547
10161,Gare de l'Est - Faubourg-Saint-Martin,true,32,30,1,0,1,true,true,2022-10-05T08:00:02Z,48.875642647477,2.3594588041306,Paris,https://www.wikidata.org/wiki/Q90
15112,Vigée-Lebrun - Anselme Payen,true,24,21,3,0,3,true,true,2022-10-05T07:57:54Z,48.838683941628375,2.3110422492027287,Paris,https://www.wikidata.org/wiki/Q90
41303,Gare de Nogent-le-Perreux,true,32,21,11,5,6,true,true,2022-10-05T07:57:18Z,48.83842553348809,2.493693307042122,Nogent-sur-Marne,https://www.wikidata.org/wiki/Q212274
22409,Henri Barbusse - Stalingrad,true,16,14,1,0,1,true,true,2022-10-05T07:59:13Z,48.814183748660554,2.2872862592339516,Malakoff,https://www.wikidata.org/wiki/Q253721
12031,Gabriel Lamé,true,36,16,19,14,5,true,true,2022-10-05T07:57:38Z,48.8351212784276,2.385534569621086,Paris,https://www.wikidata.org/wiki/Q90
5020,Institut du Monde Arabe - Saint-Germain,true,40,2,36,35,1,true,true,2022-10-05T08:01:07Z,48.849063299501,2.3558086529374,Paris,https://www.wikidata.org/wiki/Q90
5022,Boulangers - Cardinal Lemoine,true,20,16,4,2,2,true,true,2022-10-05T07:59:59Z,48.8462904,2.3521495,Paris,https://www.wikidata.org/wiki/Q90
31706,Château - République,true,26,0,0,0,0,false,false,2022-09-20T09:16:44Z,48.862923800596,2.4155035614967,Bagnolet,https://www.wikidata.org/wiki/Q208943
9106,Boudreau - Auber,true,14,2,9,7,2,true,true,2022-10-05T08:00:29Z,48.87219,2.329423,Paris,https://www.wikidata.org/wiki/Q90
9022,Rossini - Laffitte,true,33,1,32,16,16,true,true,2022-10-05T08:00:39Z,48.87334627510507,2.337980867701675,Paris,https://www.wikidata.org/wiki/Q90
9038,Douai - Bruxelles,true,27,27,0,0,0,true,true,2022-10-05T08:00:11Z,48.88320784122797,2.3308449949028507,Paris,https://www.wikidata.org/wiki/Q90
19003,Quai de la Seine,true,24,20,1,1,0,true,true,2022-10-05T08:00:38Z,48.884492238407525,2.3703941702842717,Paris,https://www.wikidata.org/wiki/Q90
8009,Gare Saint-Lazare - Isly,true,27,6,19,12,7,true,true,2022-10-05T08:00:11Z,48.874777677621296,2.326515804784655,Paris,https://www.wikidata.org/wiki/Q90
8036,Lisbonne - Monceau,true,33,1,32,13,19,true,true,2022-10-05T07:59:30Z,48.87745567681383,2.309694221419506,Paris,https://www.wikidata.org/wiki/Q90
1001,Quai de l'Horloge - Pont Neuf,true,17,8,7,3,4,true,true,2022-10-05T08:00:40Z,48.857058739111096,2.341798283943937,Paris,https://www.wikidata.org/wiki/Q90
12151,Gare de Lyon - Place Louis Armand,true,60,24,35,28,7,true,true,2022-10-05T08:00:40Z,48.845515089794,2.3726498446286,Paris,https://www.wikidata.org/wiki/Q90
6001,Institut de France,true,17,0,16,11,5,true,true,2022-10-05T07:59:14Z,48.85761567856468,2.335831353037739,Paris,https://www.wikidata.org/wiki/Q90
92007,Pesaro - Préfecture,true,22,8,12,6,6,true,true,2022-10-05T07:56:56Z,48.89577046284005,2.223908342421055,Nanterre,https://www.wikidata.org/wiki/Q170507
17008,Porte Pouchet-Bessières,true,23,17,5,3,2,true,true,2022-10-05T07:55:04Z,48.8978765,2.3230632,Paris,https://www.wikidata.org/wiki/Q90
9028,Moncey - Blanche,true,17,13,3,0,3,true,true,2022-10-05T08:00:27Z,48.88006587474148,2.3310810327529907,Paris,https://www.wikidata.org/wiki/Q90
7025,Octave Gréard - Tour Eiffel,true,33,4,28,19,9,true,true,2022-10-05T08:01:08Z,48.856502977696,2.2931787543289,Paris,https://www.wikidata.org/wiki/Q90
17043,Belidor - Gouvion-Saint-Cyr,true,39,37,2,0,2,true,true,2022-10-05T07:58:21Z,48.88022154052015,2.2854680567979813,Paris,https://www.wikidata.org/wiki/Q90
19015,Thionville - Ourcq,true,24,19,3,1,2,true,true,2022-10-05T07:53:08Z,48.88917613743794,2.3833653330802917,Paris,https://www.wikidata.org/wiki/Q90
11002,Roquette - Thiéré,true,23,12,10,4,6,true,true,2022-10-05T07:59:33Z,48.85507930579506,2.3733686318721463,Paris,https://www.wikidata.org/wiki/Q90
26003,Argenteuil - Voltaire,true,16,15,0,0,0,true,true,2022-10-05T07:55:07Z,48.91864865955558,2.2814112156629562,Asnières-sur-Seine,https://www.wikidata.org/wiki/Q191415
16039,Exelmans - Versailles,true,49,35,11,10,1,true,true,2022-10-05T08:00:54Z,48.84097491091973,2.264390252530575,Paris,https://www.wikidata.org/wiki/Q90
17004,Legendre - Clichy,true,40,37,2,1,1,true,true,2022-10-05T09:58:36Z,48.88896161855884,2.322528975094376,Paris,https://www.wikidata.org/wiki/Q90
11023,Saint-Maur - Roquette,true,46,44,0,0,0,true,true,2022-10-05T07:58:17Z,48.858688774062955,2.383553994571467,Paris,https://www.wikidata.org/wiki/Q90
45003,11 Novembre 1918 - 8 Mai 1945,true,36,30,6,2,4,true,true,2022-10-05T07:57:23Z,48.80889533774377,2.5382421165704727,Champigny-sur-Marne,https://www.wikidata.org/wiki/Q192378
18107,Chartres - La Charbonnière,true,34,30,2,1,1,true,true,2022-10-05T07:56:49Z,48.8847601,2.3534657,Paris,https://www.wikidata.org/wiki/Q90
11047,Amelot - Saint-Sébastien,true,30,20,9,4,5,true,true,2022-10-05T07:59:53Z,48.86114216276092,2.367799618107727,Paris,https://www.wikidata.org/wiki/Q90
16026,Ranelagh - Mozart,true,23,22,0,0,0,true,true,2022-10-05T07:56:25Z,48.8554439,2.2704418,Paris,https://www.wikidata.org/wiki/Q90
17030,Pereire - Rennequin,true,23,21,2,2,0,true,true,2022-10-05T07:58:34Z,48.88364782887555,2.2952447086572647,Paris,https://www.wikidata.org/wiki/Q90
10107,Gare du Nord - Hôpital Lariboisière,true,49,47,1,0,1,true,true,2022-10-05T08:00:27Z,48.881949,2.352339,Paris,https://www.wikidata.org/wiki/Q90
12111,Claude Decaen - Cannebière,true,27,25,1,1,0,true,true,2022-10-05T07:58:21Z,48.83761417037952,2.397253782195704,Paris,https://www.wikidata.org/wiki/Q90
19026,Place de Rhin et Danube,true,17,16,0,0,0,true,true,2022-10-05T07:58:51Z,48.88192765861766,2.392586767673493,Paris,https://www.wikidata.org/wiki/Q90
8034,Berri - Haussmann,true,35,2,33,16,17,true,true,2022-10-05T08:00:35Z,48.874746047357135,2.3082953318953514,Paris,https://www.wikidata.org/wiki/Q90
