ID,DISTRICT CODE,DISTRICT,ADDRESS,LATITUDE,LONGITUDE
FUE_01_0001,1.0,CENTRO,PLAZA COMENDADORAS,40.4272429,-3.7086003
FUE_01_0002,1.0,CENTRO,JARDINES CONDE DUQUE,40.4287238,-3.7101008
FUE_01_0003,1.0,CENTRO,PLAZA DE LAS SALESAS,40.4242464,-3.6946026
FUE_01_0004,1.0,CENTRO,PLAZA VILLA DE PARIS,40.4252981,-3.6922023
FUE_01_0005,1.0,CENTRO,PLAZA VILLA DE PARIS,40.4255618,-3.6931763
FUE_01_0006,1.0,CENTRO,PLAZA CRISTINO MARTOS,40.4256456,-3.7120169
FUE_01_0007,1.0,CENTRO,PLAZA SAN ILDEFONSO,40.4241421,-3.7018126
FUE_01_0008,1.0,CENTRO,PARQUE CASINO DE LA REINA,40.4059482,-3.7049195
FUE_01_0009,1.0,CENTRO,PLAZA DE LOS CARROS,40.4116737,-3.711455
FUE_01_0012,1.0,CENTRO,PARQUE DE LA CORNISA,40.4098378,-3.7153448
FUE_01_0017,1.0,CENTRO,PASEO DEL PRADO,40.4127243,-3.6931979
FUE_01_0018,1.0,CENTRO,CAPITAN SALAZAR MARTINEZ N 11,40.4071271,-3.7102162
FUE_01_0020,1.0,CENTRO,PLAZA DOS DE MAYO,40.4269465,-3.7044044
FUE_01_0021,1.0,CENTRO,PARQUE DE ATENAS,40.4150604,-3.7205578
FUE_01_0024,1.0,CENTRO,JARDINES PLAZA GABRIEL MIRO,40.412665,-3.7148802
FUE_01_0027,1.0,CENTRO,"CALLE SEGOVIA, 30",40.4147755,-3.7189277
FUE_01_0028,1.0,CENTRO,PARQUE DE ATENAS,40.4147606,-3.7201468
FUE_01_0029,1.0,CENTRO,PARQUE CASINO DE LA REINA,40.4066592,-3.7046006
FUE_01_0030,1.0,CENTRO,PARQUE CASINO DE LA REINA,40.4425058,-3.7057139
FUE_01_0031,1.0,CENTRO,CL ARGANZUELA N:1,40.4088482,-3.7102571
FUE_01_0032,1.0,CENTRO,"CL MESON DE PAREDES, N 48",40.4093894,-3.7039254
FUE_01_0033,1.0,CENTRO,CL SAN JUSTO N:1,40.4138188,-3.7090393
FUE_01_0041,1.0,CENTRO,"C/ SANTA CRUZ DE MARCENADO, 18",40.4288758,-3.7096543
FUE_01_0042,1.0,CENTRO,PLAZA SANTA MARIA SOLEDAD TORRES ACOSTA,40.4218322,-3.7054888
FUE_01_0044,1.0,CENTRO,"CIUDAD RODRIGO, JUNTO ACCESO PZA. MAYOR",40.4157493,-3.7086386
FUE_01_0045,1.0,CENTRO,JARDINES ARQUITECTO RIBERA,40.4258724,-3.6996383
FUE_01_0047,1.0,CENTRO,PLAZA DE LAVAPIES,40.4089076,-3.7010206
FUE_01_0048,1.0,CENTRO,PLAZA DEL PRINCIPE ALFONSO N5,40.414841,-3.7004943
FUE_01_0049,1.0,CENTRO,PASEO DE RECOLETOS N 17,40.4214908,-3.6924701
FUE_01_0050,1.0,CENTRO,PLAZA JACINTO BENAVENTE N 2,40.4144869,-3.7031275
FUE_01_0051,1.0,CENTRO,"CALLE TRES CRUCES, 1",40.419109,-3.7032599
FUE_01_0052,1.0,CENTRO,C/ AUGUSTO FIGUEROA N 41,40.4220373,-3.6967302
FUE_01_0053,1.0,CENTRO,"PLAZA GUARDIAS DE CORPS, 4",40.4271838,-3.7104941
FUE_01_0055,1.0,CENTRO,"CABALLERO DE GRACIA, 40",40.4189242,-3.6975217
FUE_01_0056,1.0,CENTRO,PASEO DE RECOLETOS 1,40.4198082,-3.6932761
FUE_01_0057,1.0,CENTRO,TIRSO DE MOLINA 2,40.412335,-3.7036965
FUE_01_0058,1.0,CENTRO,TOLEDO 40,40.4125395,-3.7076008
FUE_01_0061,1.0,CENTRO,CALLE HUERTAS 71,40.4131045,-3.6953848
FUE_01_0062,1.0,CENTRO,CALLE SAN LUCAS 1,40.4238133,-3.6971036
FUE_01_0063,1.0,CENTRO,PARQUE CASINO DE LA REINA,40.4058599,-3.7055371
FUE_01_0064,1.0,CENTRO,PARQUE CASINO DE LA REINA,40.4059452,-3.7057367
FUE_01_0066,1.0,CENTRO,PLAZA VIRGEN DE LA PALOMA 1,40.4082096,-3.7119965
FUE_01_0068,1.0,CENTRO,CALLE SAN PEDRO 20,40.4114955,-3.6948415
FUE_01_0071,1.0,CENTRO,"C/ ATOCHA, 73",40.4122616,-3.6986661
FUE_01_0072,1.0,CENTRO,"C/ SANTA ISABEL, 34",40.4106288,-3.6981192
FUE_01_0073,1.0,CENTRO,"C/ DOCTOR MATA, 2",40.4089132,-3.6944487
FUE_01_0074,1.0,CENTRO,"C/ SANTA ISABEL, 52",40.4084931,-3.69335
FUE_01_0075,1.0,CENTRO,PLAZA DE LA CORRALA ,40.4080412,-3.7028827
FUE_01_0077,1.0,CENTRO,"CALLE CALATRAVA, 37",40.4097296,-3.7132736
FUE_01_0078,1.0,CENTRO,"PLAZA DE SAN FRANCISCO, 4",40.4108156,-3.7141863
FUE_01_0079,1.0,CENTRO,"P VIRGEN DEL PUERTO, 1",40.4196034,-3.7199109
FUE_01_0080,1.0,CENTRO,PLAZA DEL REY,40.420101,-3.695793
FUE_01_0081,1.0,CENTRO,PLAZA CONDE DE TORENO 1,40.4243663,-3.7091785
FUE_01_0082,1.0,CENTRO,CALLE AMANIEL 10,40.4257768,-3.7093502
FUE_01_0083,1.0,CENTRO,CALLE MAYOR 32,40.4161874,-3.7078227
FUE_01_0084,1.0,CENTRO,PLAZA DE SANTIAGO 4,40.4167042,-3.7108142
FUE_01_0085,1.0,CENTRO,"CALLE ALCALA, 7",40.4173884,-3.7013164
FUE_01_0086,1.0,CENTRO,CALLE MAESTRO GUERRERO 8A,40.4244243,-3.7107103
FUE_01_0087,1.0,CENTRO,CALLE LIBREROS 1,40.421459,-3.7067995
FUE_01_0088,1.0,CENTRO,CALLE HORTALEZA 37,40.4222757,-3.6996999
FUE_01_0089,1.0,CENTRO,CALLE CRUZ VERDE 16,40.4238529,-3.7071189
FUE_01_0090,1.0,CENTRO,CALLE SAN BERNARDO 55,40.4257768,-3.7071624
FUE_01_0091,1.0,CENTRO,CALLE RASTRILLO 1,40.4253847,-3.7038411
FUE_01_0092,1.0,CENTRO,"GLORIETA EMBAJADORES, 1",40.4055135,-3.702708
FUE_01_0093,1.0,CENTRO,CUESTA SANTO DOMINGO 12,40.4196945,-3.7092889
FUE_01_0094,1.0,CENTRO,PLAZA ENCARNACION 2,40.4197325,-3.711001
FUE_01_0095,1.0,CENTRO,"CALLE TOLEDO, 61 C/V C/ SAN MILLAN",40.4112274,-3.7080417
FUE_01_0096,1.0,CENTRO,"CALLE PRECIADOS, 35",40.4197195,-3.707154
FUE_01_0099,1.0,CENTRO,"PLAZA DE LA PAJA, 6",40.4133528,-3.7113671
FUE_01_0101,1.0,CENTRO,"CALLE ALMUDENA, 3",40.4155965,-3.7132505
FUE_01_0102,1.0,CENTRO,"CALLE SAN NICOLAS, 15",40.4166794,-3.7118789
