CODIGO;"ZONA VERDE / 
VIA PUBLICA";DISTRITO;DIRECCION;COMPLEMENTO DE DIRECCI‡N ;COORD, X;COORD, Y;SISTEMA DE COORDENADAS;FECHA DATOS;Longitud;Latitud
FUE_01_0001;ZV;CENTRO;PLAZA COMENDADORAS;PLAZA COMENDADORAS;439892,4997;4475419,798;ETRS89 / UTM  Zona 30N;ago.-22;-3.7086003;40.4272429
FUE_01_0002;ZV;CENTRO;JARDINES CONDE DUQUE;JARDINES CONDE DUQUE;439766,5391;4475585,204;ETRS89 / UTM  Zona 30N;ago.-22;-3.7101008;40.4287238
FUE_01_0003;ZV;CENTRO;PLAZA DE LAS SALESAS;PLAZA DE LAS SALESAS;441077,2599;4475077,763;ETRS89 / UTM  Zona 30N;ago.-22;-3.6946026;40.4242464
FUE_01_0004;ZV;CENTRO;PLAZA VILLA DE PARIS;PLAZA VILLA DE PARIS;441281,789;4475192,9;ETRS89 / UTM  Zona 30N;ago.-22;-3.6922023;40.4252981
FUE_01_0005;ZV;CENTRO;PLAZA VILLA DE PARIS;PLAZA VILLA DE PARIS;441199,3988;4475222,805;ETRS89 / UTM  Zona 30N;ago.-22;-3.6931763;40.4255618
FUE_01_0006;ZV;CENTRO;PLAZA CRISTINO MARTOS;PLAZA CRISTINO MARTOS;439601,2523;4475244,82;ETRS89 / UTM  Zona 30N;ago.-22;-3.7120169;40.4256456
FUE_01_0007;ZV;CENTRO;PLAZA SAN ILDEFONSO;PLAZA SAN ILDEFONSO;440465,5389;4475071,01;ETRS89 / UTM  Zona 30N;ago.-22;-3.7018126;40.4241421
FUE_01_0008;ZV;CENTRO;PARQUE CASINO DE LA REINA;PARQUE CASINO DE LA REINA;440185,8664;4473053,601;ETRS89 / UTM  Zona 30N;ago.-22;-3.7049195;40.4059482
FUE_01_0009;ZV;CENTRO;PLAZA DE LOS CARROS;PLAZA DE LOS CARROS;439636,4322;4473693,572;ETRS89 / UTM  Zona 30N;ago.-22;-3.711455;40.4116737
FUE_01_0012;ZV;CENTRO;PARQUE DE LA CORNISA;PARQUE DE LA CORNISA;439304,7466;4473492,437;ETRS89 / UTM  Zona 30N;ago.-22;-3.7153448;40.4098378
