,CODIGO,CODIGO J.M.,DISTRITO,DIRECCION,"COORD, X","COORD, Y",LATITUD,LONGITUD,NOMBRE,TIPO
0,FUE_01_0001,1.0,CENTRO,PLAZA COMENDADORAS,"439892,4997","4475419,798",40.4272429,-3.7086003,PLAZA COMENDADORAS,FUENTE
1,FUE_01_0002,1.0,CENTRO,JARDINES CONDE DUQUE,"439766,5391","4475585,204",40.4287238,-3.7101008,JARDINES CONDE DUQUE,FUENTE
2,FUE_01_0003,1.0,CENTRO,PLAZA DE LAS SALESAS,"441077,2599","4475077,763",40.4242464,-3.6946026,PLAZA DE LAS SALESAS,FUENTE
3,FUE_01_0004,1.0,CENTRO,PLAZA VILLA DE PARIS,"441281,789","4475192,9",40.4252981,-3.6922023,PLAZA VILLA DE PARIS,FUENTE
4,FUE_01_0005,1.0,CENTRO,PLAZA VILLA DE PARIS,"441199,3988","4475222,805",40.4255618,-3.6931763,PLAZA VILLA DE PARIS,FUENTE
5,FUE_01_0006,1.0,CENTRO,PLAZA CRISTINO MARTOS,"439601,2523","4475244,82",40.4256456,-3.7120169,PLAZA CRISTINO MARTOS,FUENTE
6,FUE_01_0007,1.0,CENTRO,PLAZA SAN ILDEFONSO,"440465,5389","4475071,01",40.4241421,-3.7018126,PLAZA SAN ILDEFONSO,FUENTE
7,FUE_01_0008,1.0,CENTRO,PARQUE CASINO DE LA REINA,"440185,8664","4473053,601",40.4059482,-3.7049195,PARQUE CASINO DE LA REINA,FUENTE
8,FUE_01_0009,1.0,CENTRO,PLAZA DE LOS CARROS,"439636,4322","4473693,572",40.4116737,-3.711455,PLAZA DE LOS CARROS,FUENTE
9,FUE_01_0012,1.0,CENTRO,PARQUE DE LA CORNISA,"439304,7466","4473492,437",40.4098378,-3.7153448,PARQUE DE LA CORNISA,FUENTE
10,FUE_01_0017,1.0,CENTRO,PASEO DEL PRADO,"441186,3865","4473797,868",40.4127243,-3.6931979,PASEO DEL PRADO,FUENTE
11,FUE_01_0018,1.0,CENTRO,CAPITAN SALAZAR MARTINEZ N� 11,"439737,4751","4473188,049",40.4071271,-3.7102162,"GLORIETA PUERTA DE TOLEDO, JARD�N DE LAS HERO�NAS DE S�LVORA",FUENTE
12,FUE_01_0020,1.0,CENTRO,PLAZA DOS DE MAYO,"440248,1564","4475384,045",40.4269465,-3.7044044,PLAZA DOS DE MAYO,FUENTE
13,FUE_01_0021,1.0,CENTRO,PARQUE DE ATENAS,"438867,16","4474075,74",40.4150604,-3.7205578,JUNTO PISTA DEPORTIVA,FUENTE
14,FUE_01_0024,1.0,CENTRO,JARDINES PLAZA GABRIEL MIRO,"439346,7118","4473805,941",40.412665,-3.7148802,JARDINES PLAZA GABRIEL MIRO,FUENTE
15,FUE_01_0027,1.0,CENTRO,"CALLE SEGOVIA, 30","439005,2002","4474042,985",40.4147755,-3.7189277,PARQUE DE ATENAS,FUENTE
16,FUE_01_0028,1.0,CENTRO,PARQUE DE ATENAS,"438901,76","4474042,18",40.4147606,-3.7201468,JUNTO PISTAS PETANCA Y ESTANQUE,FUENTE
17,FUE_01_0029,1.0,CENTRO,PARQUE CASINO DE LA REINA,"440213,5592","4473132,298",40.4066592,-3.7046006,PARQUE CASINO DE LA REINA,FUENTE
18,FUE_01_0030,1.0,CENTRO,PARQUE CASINO DE LA REINA,"440150,8768","4477112,016",40.4425058,-3.7057139,PARQUE CASINO DE LA REINA,FUENTE
19,FUE_01_0031,1.0,CENTRO,CL ARGANZUELA N�:1,"439735,5452","4473379,122",40.4088482,-3.7102571,FUENTE CABESTREROS/  FUENTECILLA DEL LEAL,FUENTE
20,FUE_01_0032,1.0,CENTRO,"CL MESON DE PAREDES, N� 48","440273,2651","4473434,891",40.4093894,-3.7039254,CABESTREROS/ PLAZA NELSON MANDELA,FUENTE
21,FUE_01_0033,1.0,CENTRO,CL SAN JUSTO N�:1,"439843,2957","4473930,022",40.4138188,-3.7090393,PLAZA PUERTA CERRADA,FUENTE
27,FUE_01_0041,1.0,CENTRO,"C/ SANTA CRUZ DE MARCENADO, 18","439804,5471","4475601,772",40.4288758,-3.7096543,ESQUINA C/ CONDE DUQUE (FTE FARMACIA),FUENTE
28,FUE_01_0042,1.0,CENTRO,PLAZA SANTA MAR�A SOLEDAD TORRES ACOSTA,"440151,64","4474817,1",40.4218322,-3.7054888,"FRENTE A CALLE LUNA, 8",FUENTE
30,FUE_01_0044,1.0,CENTRO,"CIUDAD RODRIGO, JUNTO ACCESO PZA. MAYOR","439879,02","4474144,04",40.4157493,-3.7086386,CV TRAVES�A DE BRINGAS,FUENTE
31,FUE_01_0045,1.0,CENTRO,JARDINES ARQUITECTO RIBERA,"440651,51","4475261,61",40.4258724,-3.6996383,DENTRO DE ARENERO ZONA INFANTIL,FUENTE
33,FUE_01_0047,1.0,CENTRO,PLAZA DE LAVAPI�S,"440519,31","4473379,46",40.4089076,-3.7010206,JUNTO ZONA INFANTIL,FUENTE
34,FUE_01_0048,1.0,CENTRO,PLAZA DEL PR�NCIPE ALFONSO N�5,"440569,19","4474037,7",40.414841,-3.7004943,"PLAZA DE SANTA ANA, �REA INFANTIL",FUENTE
35,FUE_01_0049,1.0,CENTRO,PASEO DE RECOLETOS N� 17,"441255,76","4474770,46",40.4214908,-3.6924701,C/V PRIM. EN BULEVAR JUNTO ASEOS P�BLICOS,FUENTE
36,FUE_01_0050,1.0,CENTRO,PLAZA JACINTO BENAVENTE N� 2,"440345,47","4474000,18",40.4144869,-3.7031275,C/V PLAZA DEL �NGEL,FUENTE
37,FUE_01_0051,1.0,CENTRO,"CALLE TRES CRUCES, 1","440338,32","4474513,31",40.419109,-3.7032599,C/V PLAZA DEL CARMEN,FUENTE
38,FUE_01_0052,1.0,CENTRO,C/ AUGUSTO FIGUEROA N� 41,"440894,84","4474833,97",40.4220373,-3.6967302,C/V V�LGAME DIOS,FUENTE
39,FUE_01_0053,1.0,CENTRO,"PLAZA GUARDIAS DE CORPS, 4 ","439731,8","4475414,52",40.4271838,-3.7104941,C/V CONDE DUQUE,FUENTE
41,FUE_01_0055,1.0,CENTRO,"CABALLERO DE GRACIA, 40","440824,97","4474488,94",40.4189242,-3.6975217,"C/V GRAN V�A, 1",FUENTE
42,FUE_01_0056,1.0,CENTRO,PASEO DE RECOLETOS 1,"441185,92","4474584,23",40.4198082,-3.6932761,C/V PZA. CIBELES EN BULEVAR JUNTO PARADAS DE AUTOB�S,FUENTE
43,FUE_01_0057,1.0,CENTRO,TIRSO DE MOLINA 2,"440295,29","4473761,7",40.412335,-3.7036965,JUNTO �REA INFANTIL,FUENTE
44,FUE_01_0058,1.0,CENTRO,TOLEDO 40,"439964,21","4473787,04",40.4125395,-3.7076008,FRENTE N� 40,FUENTE
46,FUE_01_0061,1.0,CENTRO,CALLE HUERTAS 71,"441001,17","4473841,53",40.4131045,-3.6953848,C/V CALLE JES�S,FUENTE
47,FUE_01_0062,1.0,CENTRO,CALLE SAN LUCAS 1,"440864,72","4475031,35",40.4238133,-3.6971036,C/V SAN GREGORIO,FUENTE
48,FUE_01_0063,1.0,CENTRO,PARQUE CASINO DE LA REINA,"440133,39","4473044,21",40.4058599,-3.7055371,JUNTO �REA CANINA,FUENTE
49,FUE_01_0064,1.0,CENTRO,PARQUE CASINO DE LA REINA,"440116,53","4473053,82",40.4059452,-3.7057367,JUNTO �REA CANINA,FUENTE
