identificador,matricula,distrito,barrio,calle,num_finca,location
http://www.group10.org/pl/resource/ParkingMeter/PM301110002,301110002,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S24,2,http://www.group10.org/pl/resource/Location/L28791
http://www.group10.org/pl/resource/ParkingMeter/PM301110044,301110044,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S26,12,http://www.group10.org/pl/resource/Location/L28792
http://www.group10.org/pl/resource/ParkingMeter/PM301110035,301110035,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S26,20,http://www.group10.org/pl/resource/Location/L28793
http://www.group10.org/pl/resource/ParkingMeter/PM301110009,301110009,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S27,2,http://www.group10.org/pl/resource/Location/L28794
http://www.group10.org/pl/resource/ParkingMeter/PM301110007,301110007,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S27,10,http://www.group10.org/pl/resource/Location/L28795
http://www.group10.org/pl/resource/ParkingMeter/PM301110013,301110013,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S29,11,http://www.group10.org/pl/resource/Location/L28796
http://www.group10.org/pl/resource/ParkingMeter/PM301110017,301110017,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S31,10,http://www.group10.org/pl/resource/Location/L28797
http://www.group10.org/pl/resource/ParkingMeter/PM301110004,301110004,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S33,16,http://www.group10.org/pl/resource/Location/L28798
http://www.group10.org/pl/resource/ParkingMeter/PM301110040,301110040,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S35,7,http://www.group10.org/pl/resource/Location/L28799
http://www.group10.org/pl/resource/ParkingMeter/PM301110072,301110072,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S36,6,http://www.group10.org/pl/resource/Location/L28800
http://www.group10.org/pl/resource/ParkingMeter/PM301110073,301110073,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S36,7,http://www.group10.org/pl/resource/Location/L28801
http://www.group10.org/pl/resource/ParkingMeter/PM301110065,301110065,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S36,8,http://www.group10.org/pl/resource/Location/L28802
http://www.group10.org/pl/resource/ParkingMeter/PM301110057,301110057,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S38,10,http://www.group10.org/pl/resource/Location/L28805
http://www.group10.org/pl/resource/ParkingMeter/PM301110059,301110059,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S38,13,http://www.group10.org/pl/resource/Location/L28806
http://www.group10.org/pl/resource/ParkingMeter/PM301110005,301110005,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S40,11,http://www.group10.org/pl/resource/Location/L28808
http://www.group10.org/pl/resource/ParkingMeter/PM301110018,301110018,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S43,5,http://www.group10.org/pl/resource/Location/L28809
http://www.group10.org/pl/resource/ParkingMeter/PM301110003,301110003,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S44,22,http://www.group10.org/pl/resource/Location/L28810
http://www.group10.org/pl/resource/ParkingMeter/PM301110001,301110001,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S44,47,http://www.group10.org/pl/resource/Location/L28811
http://www.group10.org/pl/resource/ParkingMeter/PM301110043,301110043,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S46,11,http://www.group10.org/pl/resource/Location/L28812
http://www.group10.org/pl/resource/ParkingMeter/PM301110024,301110024,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S47,85,http://www.group10.org/pl/resource/Location/L28813
http://www.group10.org/pl/resource/ParkingMeter/PM301110033,301110033,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S49,14,http://www.group10.org/pl/resource/Location/L28815
http://www.group10.org/pl/resource/ParkingMeter/PM301110016,301110016,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S51,2,http://www.group10.org/pl/resource/Location/L28816
http://www.group10.org/pl/resource/ParkingMeter/PM301110061,301110061,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S58,5,http://www.group10.org/pl/resource/Location/L28817
http://www.group10.org/pl/resource/ParkingMeter/PM301110062,301110062,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S58,21,http://www.group10.org/pl/resource/Location/L28818
http://www.group10.org/pl/resource/ParkingMeter/PM301110038,301110038,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S59,8,http://www.group10.org/pl/resource/Location/L28819
http://www.group10.org/pl/resource/ParkingMeter/PM301110066,301110066,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S60,12,http://www.group10.org/pl/resource/Location/L28820
http://www.group10.org/pl/resource/ParkingMeter/PM301110051,301110051,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S62,4,http://www.group10.org/pl/resource/Location/L28821
http://www.group10.org/pl/resource/ParkingMeter/PM301110050,301110050,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S63,2,http://www.group10.org/pl/resource/Location/L28822
http://www.group10.org/pl/resource/ParkingMeter/PM301110055,301110055,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S65,11,http://www.group10.org/pl/resource/Location/L28824
http://www.group10.org/pl/resource/ParkingMeter/PM301110034,301110034,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S69,10,http://www.group10.org/pl/resource/Location/L28825
http://www.group10.org/pl/resource/ParkingMeter/PM301110037,301110037,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S74,14,http://www.group10.org/pl/resource/Location/L28826
http://www.group10.org/pl/resource/ParkingMeter/PM301110027,301110027,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S74,23,http://www.group10.org/pl/resource/Location/L28827
http://www.group10.org/pl/resource/ParkingMeter/PM301110029,301110029,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S74,24,http://www.group10.org/pl/resource/Location/L28828
http://www.group10.org/pl/resource/ParkingMeter/PM301110026,301110026,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S74,29,http://www.group10.org/pl/resource/Location/L28829
http://www.group10.org/pl/resource/ParkingMeter/PM301110025,301110025,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S74,35,http://www.group10.org/pl/resource/Location/L28830
http://www.group10.org/pl/resource/ParkingMeter/PM301110060,301110060,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S75,11,http://www.group10.org/pl/resource/Location/L28831
http://www.group10.org/pl/resource/ParkingMeter/PM301110052,301110052,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S75,23,http://www.group10.org/pl/resource/Location/L28832
http://www.group10.org/pl/resource/ParkingMeter/PM301110053,301110053,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S75,45,http://www.group10.org/pl/resource/Location/L28833
