,distrito
0,01  CENTRO
1,01  CENTRO
2,01  CENTRO
3,01  CENTRO
4,01  CENTRO
5,01  CENTRO
6,01  CENTRO
7,01  CENTRO
8,01  CENTRO
9,01  CENTRO
10,01  CENTRO
11,01  CENTRO
12,01  CENTRO
13,01  CENTRO
14,01  CENTRO
15,01  CENTRO
16,01  CENTRO
17,01  CENTRO
18,01  CENTRO
19,01  CENTRO
20,01  CENTRO
21,01  CENTRO
22,01  CENTRO
23,01  CENTRO
24,01  CENTRO
25,01  CENTRO
26,01  CENTRO
27,01  CENTRO
28,01  CENTRO
29,01  CENTRO
30,01  CENTRO
31,01  CENTRO
32,01  CENTRO
33,01  CENTRO
34,01  CENTRO
35,01  CENTRO
36,01  CENTRO
37,01  CENTRO
38,01  CENTRO
39,01  CENTRO
40,01  CENTRO
41,01  CENTRO
42,01  CENTRO
43,01  CENTRO
44,01  CENTRO
45,01  CENTRO
46,01  CENTRO
47,01  CENTRO
48,01  CENTRO
49,01  CENTRO
50,01  CENTRO
51,01  CENTRO
52,01  CENTRO
53,01  CENTRO
54,01  CENTRO
55,01  CENTRO
56,01  CENTRO
57,01  CENTRO
58,01  CENTRO
59,01  CENTRO
60,01  CENTRO
61,01  CENTRO
62,01  CENTRO
63,01  CENTRO
64,01  CENTRO
65,01  CENTRO
66,01  CENTRO
67,01  CENTRO
68,01  CENTRO
69,01  CENTRO
70,01  CENTRO
71,01  CENTRO
72,01  CENTRO
73,01  CENTRO
74,01  CENTRO
75,01  CENTRO
76,01  CENTRO
77,01  CENTRO
78,01  CENTRO
79,01  CENTRO
80,01  CENTRO
81,01  CENTRO
82,01  CENTRO
83,01  CENTRO
84,01  CENTRO
85,01  CENTRO
86,01  CENTRO
87,01  CENTRO
88,01  CENTRO
89,01  CENTRO
90,01  CENTRO
91,01  CENTRO
92,01  CENTRO
93,01  CENTRO
94,01  CENTRO
95,01  CENTRO
96,01  CENTRO
97,01  CENTRO
98,01  CENTRO
99,01  CENTRO
100,01  CENTRO
101,01  CENTRO
102,01  CENTRO
103,01  CENTRO
104,01  CENTRO
105,01  CENTRO
106,01  CENTRO
107,01  CENTRO
108,01  CENTRO
109,01  CENTRO
110,01  CENTRO
111,01  CENTRO
112,01  CENTRO
113,01  CENTRO
114,01  CENTRO
115,01  CENTRO
116,01  CENTRO
117,01  CENTRO
118,01  CENTRO
119,01  CENTRO
120,01  CENTRO
121,01  CENTRO
122,01  CENTRO
123,01  CENTRO
124,01  CENTRO
125,01  CENTRO
126,01  CENTRO
127,01  CENTRO
128,01  CENTRO
129,01  CENTRO
130,01  CENTRO
131,01  CENTRO
132,01  CENTRO
133,01  CENTRO
134,01  CENTRO
135,01  CENTRO
136,01  CENTRO
137,01  CENTRO
138,01  CENTRO
139,01  CENTRO
140,01  CENTRO
141,01  CENTRO
142,01  CENTRO
143,01  CENTRO
144,01  CENTRO
145,01  CENTRO
146,01  CENTRO
147,01  CENTRO
148,01  CENTRO
149,01  CENTRO
150,01  CENTRO
151,01  CENTRO
152,01  CENTRO
153,01  CENTRO
154,01  CENTRO
155,01  CENTRO
156,01  CENTRO
157,01  CENTRO
158,01  CENTRO
159,01  CENTRO
160,01  CENTRO
161,01  CENTRO
162,01  CENTRO
163,01  CENTRO
164,01  CENTRO
165,01  CENTRO
166,01  CENTRO
167,01  CENTRO
168,01  CENTRO
169,01  CENTRO
170,01  CENTRO
171,01  CENTRO
172,01  CENTRO
173,01  CENTRO
174,01  CENTRO
175,01  CENTRO
176,01  CENTRO
177,01  CENTRO
178,01  CENTRO
179,01  CENTRO
180,01  CENTRO
181,01  CENTRO
182,01  CENTRO
183,01  CENTRO
184,01  CENTRO
185,01  CENTRO
186,01  CENTRO
187,01  CENTRO
188,01  CENTRO
189,01  CENTRO
190,01  CENTRO
191,01  CENTRO
192,01  CENTRO
193,01  CENTRO
194,01  CENTRO
195,01  CENTRO
196,01  CENTRO
197,01  CENTRO
198,01  CENTRO
199,01  CENTRO
200,01  CENTRO
201,01  CENTRO
202,01  CENTRO
203,01  CENTRO
204,01  CENTRO
205,01  CENTRO
206,01  CENTRO
207,01  CENTRO
208,01  CENTRO
209,01  CENTRO
210,01  CENTRO
211,01  CENTRO
212,01  CENTRO
213,01  CENTRO
214,01  CENTRO
215,01  CENTRO
216,01  CENTRO
217,01  CENTRO
218,01  CENTRO
219,01  CENTRO
220,01  CENTRO
221,01  CENTRO
222,01  CENTRO
223,01  CENTRO
224,01  CENTRO
225,01  CENTRO
226,01  CENTRO
227,01  CENTRO
228,01  CENTRO
229,01  CENTRO
230,01  CENTRO
231,01  CENTRO
232,01  CENTRO
233,01  CENTRO
234,01  CENTRO
235,01  CENTRO
236,01  CENTRO
237,01  CENTRO
238,01  CENTRO
239,01  CENTRO
240,01  CENTRO
241,01  CENTRO
242,01  CENTRO
243,01  CENTRO
244,01  CENTRO
245,01  CENTRO
246,01  CENTRO
247,01  CENTRO
248,01  CENTRO
249,01  CENTRO
250,01  CENTRO
251,01  CENTRO
252,01  CENTRO
253,01  CENTRO
254,01  CENTRO
255,01  CENTRO
256,01  CENTRO
257,01  CENTRO
258,01  CENTRO
259,01  CENTRO
260,01  CENTRO
