gis_x;gis_y;distrito;barrio;calle;num_finca;color;bateria_linea;num_plazas
439592,91;4473566,23;01  CENTRO;01-01 PALACIO;AGUAS, CALLE, DE LAS;2;077214010 Verde;Línea;7
439569,07;4473598,77;01  CENTRO;01-01 PALACIO;AGUAS, CALLE, DE LAS;8;077214010 Verde;Línea;5
439575,49;4473495,34;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;8;077214010 Verde;Línea;3
439558,35;4473470,48;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;12;077214010 Verde;Línea;8
439536,49;4473428,32;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;17;077214010 Verde;Línea;4
439525,36;4473404,28;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;21;077214010 Verde;Línea;4
439587,76;4473916,82;01  CENTRO;01-01 PALACIO;ALAMILLO, CALLE, DEL;1;077214010 Verde;Línea;3
439600,51;4473917,47;01  CENTRO;01-01 PALACIO;ALAMILLO, CALLE, DEL;2;077214010 Verde;Línea;2
439097,77;4473640,65;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;1;077214010 Verde;Línea;4
439090,09;4473635,79;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;2;077214010 Verde;Línea;1
439130,32;4473643,97;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;5;077214010 Verde;Línea;6
439129,02;4473639,93;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;6;077214010 Verde;Línea;13
439152,39;4473645,99;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;7;077214010 Verde;Batería;4
439849,67;4473828,18;01  CENTRO;01-01 PALACIO;ALMENDRO, CALLE, DEL;4;077214010 Verde;Línea;3
439773,76;4473804,41;01  CENTRO;01-01 PALACIO;ALMENDRO, CALLE, DEL;12;077214010 Verde;Línea;4
439748,29;4474317,87;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;2;077214010 Verde;Línea;4
439710,65;4474308,34;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;5;077214010 Verde;Línea;3
439678,32;4474300,6;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;7;077214010 Verde;Línea;2
439667,2;4474297,81;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;9;077214010 Verde;Línea;2
439502,18;4473486,09;01  CENTRO;01-01 PALACIO;ANGEL, CALLE, DEL;19;077214010 Verde;Línea;4
439906,44;4474463,72;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;7;077214010 Verde;Línea;9
439920,47;4474500,87;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;9;077214010 Verde;Línea;3
439927,2;4474539,09;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;14;077214010 Verde;Línea;2
439932,73;4474565,65;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;20;077214010 Verde;Línea;4
439757,96;4474464,89;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;4;077214010 Verde;Línea;7
439708,41;4474505,9;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;7;077214010 Verde;Línea;2
439680,57;4474535,41;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;15;077214010 Verde;Línea;2
439674,45;4474541,75;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;17;077214010 Verde;Línea;1
439448,66;4473937,14;01  CENTRO;01-01 PALACIO;BAILEN, CALLE, DE;S/N;077214010 Verde;Línea;2
439352,9;4473875,45;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;1;077214010 Verde;Línea;2
439397,36;4473898,54;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;S/N;077214010 Verde;Línea;17
439258,65;4473849,93;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;S/N;077214010 Verde;Línea;36
439295,47;4473765,95;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;S/N;077214010 Verde;Línea;13
439724,66;4473414,35;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;1;077214010 Verde;Línea;3
439711,11;4473415,69;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;3;077214010 Verde;Línea;3
439672,16;4473419,87;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;11;077214010 Verde;Línea;13
439595,58;4473427,73;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;21;077214010 Verde;Línea;7
439570,91;4473438,1;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;24;077214010 Verde;Línea;9
439562,11;4473437,26;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;29;077214010 Verde;Línea;6
439515,95;4473460,06;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;30;077214010 Verde;Línea;10
439513,07;4473457,45;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;33;077214010 Verde;Línea;11
439466,95;4473513,35;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;36;077214010 Verde;Línea;10
439472,83;4473512,59;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;36;077214010 Verde;Línea;10
439481,7;4473483,2;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;37;077214010 Verde;Línea;3
439809,66;4474480,46;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;4;077214010 Verde;Línea;3
439832,57;4474525,04;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;9;077214010 Verde;Línea;6
439835,73;4474550,66;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;13;077214010 Verde;Línea;4
439833,18;4474566,92;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;15;077214010 Verde;Línea;3
439883,74;4474487,2;01  CENTRO;01-01 PALACIO;CAÑOS DEL PERAL, CALLE, DE LOS;4;077214010 Verde;Línea;12
