Identificador,Nombre,barrio_wikidata,Codigo,distrito
http://www.group10.org/pl/resource/Neighborhood/N07-06,Vallehermoso,https://wikidata.org/entity/Q6122685,07-06,http://www.group10.org/pl/resource/District/D07
http://www.group10.org/pl/resource/Neighborhood/N08-04,El Pilar,https://wikidata.org/entity/Q3773964,08-04,http://www.group10.org/pl/resource/District/D08
http://www.group10.org/pl/resource/Neighborhood/N08-05,La Paz,https://wikidata.org/entity/Q5869740,08-05,http://www.group10.org/pl/resource/District/D08
http://www.group10.org/pl/resource/Neighborhood/N09-01,Casa de Campo,https://wikidata.org/entity/Q16302441,09-01,http://www.group10.org/pl/resource/District/D09
http://www.group10.org/pl/resource/Neighborhood/N09-02,Argüelles,https://wikidata.org/entity/Q64874,09-02,http://www.group10.org/pl/resource/District/D09
http://www.group10.org/pl/resource/Neighborhood/N09-03,Ciudad Universitaria,https://wikidata.org/entity/Q3319235,09-03,http://www.group10.org/pl/resource/District/D09
http://www.group10.org/pl/resource/Neighborhood/N09-04,Valdezarza,https://wikidata.org/entity/Q10388728,09-04,http://www.group10.org/pl/resource/District/D09
http://www.group10.org/pl/resource/Neighborhood/N10-01,Los Cármenes,https://wikidata.org/entity/Q10319792,10-01,http://www.group10.org/pl/resource/District/D10
http://www.group10.org/pl/resource/Neighborhood/N10-02,Barrio de Puerta del Ángel,https://wikidata.org/entity/Q31142,10-02,http://www.group10.org/pl/resource/District/D10
http://www.group10.org/pl/resource/Neighborhood/N11-03,San Isidro,https://wikidata.org/entity/Q3813733,11-03,http://www.group10.org/pl/resource/District/D11
http://www.group10.org/pl/resource/Neighborhood/N15-01,Ventas,https://wikidata.org/entity/Q71762,15-01,http://www.group10.org/pl/resource/District/D15
http://www.group10.org/pl/resource/Neighborhood/N15-07,Colina,https://wikidata.org/entity/Q18475981,15-07,http://www.group10.org/pl/resource/District/D15
