identificador,gis_x,gis_y
http://www.group10.org/pl/resource/Location/L116,439368.55,4473797.19
http://www.group10.org/pl/resource/Location/L117,439366.82,4473769.94
http://www.group10.org/pl/resource/Location/L118,439356.61,4473747.04
http://www.group10.org/pl/resource/Location/L119,439338.36,4473729.73
http://www.group10.org/pl/resource/Location/L120,439341.11,4473723.15
http://www.group10.org/pl/resource/Location/L121,439929.49,4473868.67
http://www.group10.org/pl/resource/Location/L122,439553.36,4473272.35
http://www.group10.org/pl/resource/Location/L123,439540.59,4473262.48
http://www.group10.org/pl/resource/Location/L124,439532.28,4473308.17
http://www.group10.org/pl/resource/Location/L125,439518.23,4473300.07
http://www.group10.org/pl/resource/Location/L126,439464.64,4473408.89
http://www.group10.org/pl/resource/Location/L127,439469.83,4473394.98
http://www.group10.org/pl/resource/Location/L128,439477.39,4473375.8
http://www.group10.org/pl/resource/Location/L129,439487.66,4473392.83
http://www.group10.org/pl/resource/Location/L130,439447.18,4473455.79
http://www.group10.org/pl/resource/Location/L131,439461.36,4473463.49
http://www.group10.org/pl/resource/Location/L132,439494.49,4473341.34
http://www.group10.org/pl/resource/Location/L133,439451.46,4473320.82
http://www.group10.org/pl/resource/Location/L134,439721.75,4474632.73
http://www.group10.org/pl/resource/Location/L135,439681.01,4474683.21
http://www.group10.org/pl/resource/Location/L136,439731.59,4473556.92
http://www.group10.org/pl/resource/Location/L137,439712.57,4473643.11
http://www.group10.org/pl/resource/Location/L138,439716.41,4473619.66
http://www.group10.org/pl/resource/Location/L139,439720.95,4473594.81
http://www.group10.org/pl/resource/Location/L140,439724.74,4473572.77
http://www.group10.org/pl/resource/Location/L141,439727.7,4473555.52
http://www.group10.org/pl/resource/Location/L142,439726.99,4473514.22
http://www.group10.org/pl/resource/Location/L143,439764.91,4474348.62
http://www.group10.org/pl/resource/Location/L144,439766.05,4474368.22
http://www.group10.org/pl/resource/Location/L145,439835.96,4474773.99
http://www.group10.org/pl/resource/Location/L146,439547.98,4473346.99
http://www.group10.org/pl/resource/Location/L147,439309.4,4473619.43
http://www.group10.org/pl/resource/Location/L148,439645.85,4474147.02
http://www.group10.org/pl/resource/Location/L149,439820.89,4474707.15
http://www.group10.org/pl/resource/Location/L150,439806.86,4474723.87
http://www.group10.org/pl/resource/Location/L151,439793.06,4474741.8
http://www.group10.org/pl/resource/Location/L152,439782.95,4474760.54
http://www.group10.org/pl/resource/Location/L153,439762.28,4474797.68
http://www.group10.org/pl/resource/Location/L154,439771.95,4474772.57
http://www.group10.org/pl/resource/Location/L155,439742.74,4474836
http://www.group10.org/pl/resource/Location/L156,439750.41,4474813.95
http://www.group10.org/pl/resource/Location/L157,439728.16,4474865.1
http://www.group10.org/pl/resource/Location/L158,439733.53,4474846.84
http://www.group10.org/pl/resource/Location/L159,439721.74,4474870.88
http://www.group10.org/pl/resource/Location/L160,439691.96,4474931.18
http://www.group10.org/pl/resource/Location/L161,439692.98,4474936.32
http://www.group10.org/pl/resource/Location/L162,439686.29,4474942.98
http://www.group10.org/pl/resource/Location/L163,439701.42,4473547.77
http://www.group10.org/pl/resource/Location/L164,439661.76,4473556.81
http://www.group10.org/pl/resource/Location/L165,439639.47,4473561.74
http://www.group10.org/pl/resource/Location/L166,439593.82,4473730.39
http://www.group10.org/pl/resource/Location/L167,439556.07,4473736.71
http://www.group10.org/pl/resource/Location/L168,439527.07,4473762.52
http://www.group10.org/pl/resource/Location/L169,439513.41,4473787.96
http://www.group10.org/pl/resource/Location/L170,439499.24,4473824.24
http://www.group10.org/pl/resource/Location/L171,439502.07,4473825.37
http://www.group10.org/pl/resource/Location/L172,439833.1,4474161.33
http://www.group10.org/pl/resource/Location/L173,439436.71,4474076.52
http://www.group10.org/pl/resource/Location/L174,439400.81,4474070.47
http://www.group10.org/pl/resource/Location/L175,439414.45,4474069.46
http://www.group10.org/pl/resource/Location/L176,439320.14,4474023.75
http://www.group10.org/pl/resource/Location/L177,439378.53,4474073.2
http://www.group10.org/pl/resource/Location/L178,439386.09,4474080.95
http://www.group10.org/pl/resource/Location/L179,439409.58,4474079.09
http://www.group10.org/pl/resource/Location/L180,439330.12,4474050.91
http://www.group10.org/pl/resource/Location/L181,439355.33,4474083.9
http://www.group10.org/pl/resource/Location/L182,439326.22,4474072.61
http://www.group10.org/pl/resource/Location/L183,439696.66,4473503.21
http://www.group10.org/pl/resource/Location/L184,439614.95,4473519.9
http://www.group10.org/pl/resource/Location/L185,439533.14,4473882.37
http://www.group10.org/pl/resource/Location/L186,439505.62,4473853.42
http://www.group10.org/pl/resource/Location/L187,439414.32,4473830.55
http://www.group10.org/pl/resource/Location/L188,439471.84,4473847.8
http://www.group10.org/pl/resource/Location/L189,439410.8,4473823.15
http://www.group10.org/pl/resource/Location/L190,439510,4473865.84
http://www.group10.org/pl/resource/Location/L191,439575.22,4474268.35
