identificador_x,matricula,gis_x,gis_y,distrito 1,barrio 1,calle,num_finca,identificador_y
http://www.group10.org/pl/resource/ParkingMeter/PM301110056,301110056,439608.1908,4473550.028,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,CALLE DE LAS AGUAS,1,http://www.group10.org/pl/resource/Location/L28771
http://www.group10.org/pl/resource/ParkingMeter/PM301110042,301110042,439757.571,4473794.518,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,CALLE DEL ALMENDRO,14,http://www.group10.org/pl/resource/Location/L28772
http://www.group10.org/pl/resource/ParkingMeter/PM301110014,301110014,439724.4731,4474317.372,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,CALLE DE LA AMNISTIA,6,http://www.group10.org/pl/resource/Location/L28773
http://www.group10.org/pl/resource/ParkingMeter/PM301110012,301110012,439923.6811,4474528.889,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,COSTANILLA DE LOS ANGELES,11,http://www.group10.org/pl/resource/Location/L28774
http://www.group10.org/pl/resource/ParkingMeter/PM301110010,301110010,439735.2317,4474489.959,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,CALLE DE ARRIETA,8,http://www.group10.org/pl/resource/Location/L28775
http://www.group10.org/pl/resource/ParkingMeter/PM301110064,301110064,439622.7569,4473423.031,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,CALLE DE CALATRAVA,17,http://www.group10.org/pl/resource/Location/L28777
http://www.group10.org/pl/resource/ParkingMeter/PM301110063,301110063,439549.6164,4473438.836,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,CALLE DE CALATRAVA,29,http://www.group10.org/pl/resource/Location/L28778
http://www.group10.org/pl/resource/ParkingMeter/PM301110046,301110046,439479.2652,4473481.502,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,CALLE DE CALATRAVA,37,http://www.group10.org/pl/resource/Location/L28779
http://www.group10.org/pl/resource/ParkingMeter/PM301110011,301110011,439834.947,4474517.969,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,CALLE DE CAMPOMANES,8,http://www.group10.org/pl/resource/Location/L28780
http://www.group10.org/pl/resource/ParkingMeter/PM301110041,301110041,439885.3223,4473783.409,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,CALLE DE LA CAVA ALTA,6,http://www.group10.org/pl/resource/Location/L28781
http://www.group10.org/pl/resource/ParkingMeter/PM301110045,301110045,439775.1329,4473743.072,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,CALLE DE LA CAVA BAJA,34,http://www.group10.org/pl/resource/Location/L28782
http://www.group10.org/pl/resource/ParkingMeter/PM301110058,301110058,439778.7486,4473597.824,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,CALLE DE LA CEBADA,1,http://www.group10.org/pl/resource/Location/L28783
http://www.group10.org/pl/resource/ParkingMeter/PM301110048,301110048,439819.5452,4473647.634,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,PLAZA DE LA CEBADA,5,http://www.group10.org/pl/resource/Location/L28785
http://www.group10.org/pl/resource/ParkingMeter/PM301110030,301110030,439765.7321,4473972.824,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,PLAZA DEL CORDON,3,http://www.group10.org/pl/resource/Location/L28789
http://www.group10.org/pl/resource/ParkingMeter/PM301110069,301110069,439308.7418,4473344.243,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,CUESTA DE LAS DESCARGAS,10,http://www.group10.org/pl/resource/Location/L28790
http://www.group10.org/pl/resource/ParkingMeter/PM301110002,301110002,439715.6288,4474900.303,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,CALLE DEL DOCTOR CARRACIDO,2,http://www.group10.org/pl/resource/Location/L28791
http://www.group10.org/pl/resource/ParkingMeter/PM301110044,301110044,439510.6701,4473694.622,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,CALLE DE DON PEDRO,12,http://www.group10.org/pl/resource/Location/L28792
http://www.group10.org/pl/resource/ParkingMeter/PM301110035,301110035,439363.041,4473727.75,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,CALLE DE DON PEDRO,20,http://www.group10.org/pl/resource/Location/L28793
