,calle
135,"GUILLERMO ROLLAND, CALLE, DE"
136,"HUMILLADERO, CALLE, DEL"
137,"HUMILLADERO, CALLE, DEL"
138,"HUMILLADERO, CALLE, DEL"
139,"HUMILLADERO, CALLE, DEL"
140,"HUMILLADERO, CALLE, DEL"
141,"HUMILLADERO, CALLE, DEL"
142,"HUMILLADERO, CALLE, DEL"
143,"INDEPENDENCIA, CALLE, DE LA"
144,"INDEPENDENCIA, CALLE, DE LA"
145,"ISABEL LA CATOLICA, CALLE, DE"
146,"ISABEL TINTERO, CALLE, DE"
147,"JERTE, CALLE, DE"
148,"JUAN DE HERRERA, CALLE, DE"
149,"LEGANITOS, CALLE, DE"
150,"LEGANITOS, CALLE, DE"
151,"LEGANITOS, CALLE, DE"
152,"LEGANITOS, CALLE, DE"
153,"LEGANITOS, CALLE, DE"
154,"LEGANITOS, CALLE, DE"
155,"LEGANITOS, CALLE, DE"
156,"LEGANITOS, CALLE, DE"
157,"LEGANITOS, CALLE, DE"
158,"LEGANITOS, CALLE, DE"
159,"LEGANITOS, CALLE, DE"
160,"LEGANITOS, CALLE, DE"
161,"LEGANITOS, CALLE, DE"
162,"LEGANITOS, CALLE, DE"
163,"LUCIENTE, CALLE, DE"
164,"LUCIENTE, CALLE, DE"
165,"LUCIENTE, CALLE, DE"
166,"MANCEBOS, CALLE, DE LOS"
167,"MANCEBOS, CALLE, DE LOS"
168,"MANCEBOS, CALLE, DE LOS"
169,"MANCEBOS, CALLE, DE LOS"
170,"MANCEBOS, CALLE, DE LOS"
171,"MANCEBOS, CALLE, DE LOS"
172,"MAYOR, CALLE"
173,"MAYOR, CALLE"
174,"MAYOR, CALLE"
175,"MAYOR, CALLE"
176,"MAYOR, CALLE"
177,"MAYOR, CALLE"
178,"MAYOR, CALLE"
179,"MAYOR, CALLE"
180,"MAYOR, CALLE"
181,"MAYOR, CALLE"
182,"MAYOR, CALLE"
183,"MEDIODIA GRANDE, CALLE, DEL"
184,"MEDIODIA GRANDE, CALLE, DEL"
185,"MORERIA, CALLE, DE LA"
186,"MORERIA, CALLE, DE LA"
187,"MORERIA, CALLE, DE LA"
188,"MORERIA, CALLE, DE LA"
189,"MORERIA, CALLE, DE LA"
190,"MORERIA, PLAZA, DE LA"
191,"NOBLEJAS, CALLE, DE"
192,"NOBLEJAS, CALLE, DE"
193,"ORIENTE, CALLE, DE"
194,"ORIENTE, CALLE, DE"
195,"PALOMA, CALLE, DE LA"
196,"PALOMA, CALLE, DE LA"
197,"PALOMA, CALLE, DE LA"
198,"PRIORA, CALLE, DE LA"
199,"PUERTA DE MOROS, PLAZA, DE LA"
200,"RAMON, CUESTA, DE"
201,"REDONDILLA, CALLE, DE LA"
202,"REDONDILLA, CALLE, DE LA"
203,"REDONDILLA, CALLE, DE LA"
204,"REDONDILLA, CALLE, DE LA"
205,"ROSARIO, CALLE, DEL"
206,"ROSARIO, CALLE, DEL"
207,"ROSARIO, CALLE, DEL"
208,"ROSARIO, CALLE, DEL"
209,"ROSARIO, CALLE, DEL"
210,"ROSARIO, CALLE, DEL"
211,"ROSARIO, CALLE, DEL"
212,"SAN ANDRES, COSTANILLA, DE"
213,"SAN ANDRES, COSTANILLA, DE"
214,"SAN BERNABE, CALLE, DE"
215,"SAN BERNABE, CALLE, DE"
216,"SAN BERNABE, CALLE, DE"
217,"SAN BERNABE, CALLE, DE"
218,"SAN BERNABE, CALLE, DE"
219,"SAN BERNABE, CALLE, DE"
220,"SAN BERNABE, CALLE, DE"
221,"SAN BERNABE, CALLE, DE"
222,"SAN BERNABE, CALLE, DE"
223,"SAN BERNABE, CALLE, DE"
224,"SAN BRUNO, CALLE, DE"
225,"SAN BRUNO, CALLE, DE"
226,"SAN BUENAVENTURA, CALLE, DE"
227,"SAN BUENAVENTURA, CALLE, DE"
228,"SAN BUENAVENTURA, CALLE, DE"
229,"SAN BUENAVENTURA, CALLE, DE"
230,"SAN FRANCISCO, CARRERA, DE"
231,"SAN FRANCISCO, CARRERA, DE"
232,"SAN FRANCISCO, CARRERA, DE"
233,"SAN FRANCISCO, CARRERA, DE"
234,"SAN FRANCISCO, CARRERA, DE"
235,"SAN FRANCISCO, CARRERA, DE"
236,"SAN FRANCISCO, CARRERA, DE"
237,"SAN FRANCISCO, CARRERA, DE"
238,"SAN FRANCISCO, CARRERA, DE"
239,"SAN FRANCISCO, PLAZA, DE"
240,"SAN FRANCISCO, PLAZA, DE"
241,"SAN ISIDRO LABRADOR, CALLE, DE"
242,"SAN ISIDRO LABRADOR, CALLE, DE"
243,"SAN JUSTO, CALLE, DE"
244,"SAN MIGUEL, PLAZA, DE"
245,"SAN MIGUEL, PLAZA, DE"
246,"SAN MIGUEL, PLAZA, DE"
247,"SAN NICOLAS, PLAZA, DE"
248,"SAN NICOLAS, PLAZA, DE"
249,"SAN PEDRO, COSTANILLA, DE"
250,"SAN PEDRO, COSTANILLA, DE"
251,"SAN PEDRO, COSTANILLA, DE"
252,"SAN PEDRO, COSTANILLA, DE"
253,"SANTA CLARA, CALLE, DE"
254,"SANTA CLARA, CALLE, DE"
255,"SANTO DOMINGO, CUESTA, DE"
256,"SANTO DOMINGO, CUESTA, DE"
257,"SANTO DOMINGO, PLAZA, DE"
258,"SANTO DOMINGO, PLAZA, DE"
259,"SEGOVIA NUEVA, PLAZA, DE"
260,"SEGOVIA, CALLE, DE"
261,"SEGOVIA, CALLE, DE"
262,"SEGOVIA, CALLE, DE"
263,"SEGOVIA, CALLE, DE"
264,"SEGOVIA, CALLE, DE"
265,"SEGOVIA, CALLE, DE"
266,"SEGOVIA, CALLE, DE"
267,"SEGOVIA, CALLE, DE"
268,"SEGOVIA, CALLE, DE"
269,"SEGOVIA, CALLE, DE"
270,"SEGOVIA, CALLE, DE"
271,"SEGOVIA, CALLE, DE"
272,"SEGOVIA, CALLE, DE"
273,"SEGOVIA, CALLE, DE"
274,"SEGOVIA, CALLE, DE"
275,"SEGOVIA, CALLE, DE"
276,"SEGOVIA, CALLE, DE"
277,"SEGOVIA, CALLE, DE"
278,"SEGOVIA, CALLE, DE"
279,"SEGOVIA, CALLE, DE"
280,"SEGOVIA, CALLE, DE"
281,"SEGOVIA, CALLE, DE"
282,"SEGOVIA, CALLE, DE"
283,"SEGOVIA, RONDA, DE"
284,"SEGOVIA, RONDA, DE"
285,"SEGOVIA, RONDA, DE"
286,"SEGOVIA, RONDA, DE"
287,"SEGOVIA, RONDA, DE"
288,"SEGOVIA, RONDA, DE"
289,"SEGOVIA, RONDA, DE"
290,"SEGOVIA, RONDA, DE"
291,"SEGOVIA, RONDA, DE"
292,"SEGOVIA, RONDA, DE"
293,"SEGOVIA, RONDA, DE"
294,"SEGOVIA, RONDA, DE"
295,"SEGOVIA, RONDA, DE"
296,"SEGOVIA, RONDA, DE"
297,"SEGOVIA, RONDA, DE"
298,"SEGOVIA, RONDA, DE"
299,"SEGOVIA, RONDA, DE"
300,"SEGOVIA, RONDA, DE"
301,"SEGOVIA, RONDA, DE"
302,"SEGOVIA, RONDA, DE"
303,"SEGOVIA, RONDA, DE"
304,"SEGOVIA, RONDA, DE"
305,"SEGOVIA, RONDA, DE"
306,"SEGOVIA, RONDA, DE"
307,"SEGOVIA, RONDA, DE"
308,"SEGOVIA, RONDA, DE"
309,"SIERPE, CALLE, DE LA"
310,"SIERPE, CALLE, DE LA"
311,"SILVA, CALLE, DE"
312,"SILVA, CALLE, DE"
313,"SILVA, CALLE, DE"
314,"TABERNILLAS, CALLE, DE LAS"
315,"TOLEDO, CALLE, DE"
316,"TOLEDO, CALLE, DE"
317,"TOLEDO, CALLE, DE"
318,"TORIJA, CALLE, DE"
319,"TORIJA, CALLE, DE"
320,"UNION, CALLE, DE LA"
321,"UNION, CALLE, DE LA"
322,"UNION, CALLE, DE LA"
323,"UNION, CALLE, DE LA"
324,"UNION, CALLE, DE LA"
325,"VALLICIERGO, CALLE, DE"
326,"VEGA, CUESTA, DE LA"
327,"VEGA, CUESTA, DE LA"
328,"VEGA, CUESTA, DE LA"
329,"VEGA, CUESTA, DE LA"
330,"VEGA, CUESTA, DE LA"
331,"VEGA, CUESTA, DE LA"
332,"VENTOSA, CALLE, DE LA"
333,"VENTOSA, CALLE, DE LA"
334,"VENTOSA, CALLE, DE LA"
335,"VENTOSA, CALLE, DE LA"
336,"VENTOSA, CALLE, DE LA"
337,"VENTOSA, CALLE, DE LA"
338,"VILLA, CALLE, DE LA"
339,"VILLA, CALLE, DE LA"
340,"VIRGEN DE LA PALOMA, PLAZA, DE LA"
341,"VIRGEN DE LA PALOMA, PLAZA, DE LA"
342,"VIRGEN DE LA PALOMA, PLAZA, DE LA"
343,"AMAZONAS, CALLE, DE LAS"
344,"AMAZONAS, CALLE, DE LAS"
345,"AMAZONAS, CALLE, DE LAS"
346,"AMAZONAS, CALLE, DE LAS"
347,"AMAZONAS, CALLE, DE LAS"
348,"AMAZONAS, CALLE, DE LAS"
349,"AMAZONAS, CALLE, DE LAS"
350,"AMPARO, CALLE, DE"
351,"AMPARO, CALLE, DE"
352,"AMPARO, CALLE, DE"
353,"AMPARO, CALLE, DE"
354,"AMPARO, CALLE, DE"
355,"ARGANZUELA, CALLE, DE LA"
356,"ARGANZUELA, CALLE, DE LA"
357,"ARGANZUELA, CALLE, DE LA"
358,"ARGANZUELA, CALLE, DE LA"
359,"ARGANZUELA, CALLE, DE LA"
360,"ARGUMOSA, CALLE, DE"
361,"ARGUMOSA, CALLE, DE"
362,"ARGUMOSA, CALLE, DE"
