,identifier,name,equipment,teaching,typeAccessibility,knowsAbout,locality,same_as_wikidata_locality,province,same_as_wikidata_province,postalCode,neighborhood,same_as_wikidata_neighborhood,district,same_as_wikidata_district,latitude,longitude,telephone,faxNumber,email,titularity,laborDay,schedule,extraUses,otherUses,yardCategory,yardNumber,accessibilityComment,directAccess,otherAccess,wcAccessibles,shade,furniture,services,surface,conservationState,greenZonesProximity,facilitiesProximity,observations,bus,renfe,same_as_wikidata_renfe,metro,same_as_wikidata_metro,streetAddress
0,176850,Colegio público adolfo suárez,Comedor; horario ampliado; planes de mejora,Enseñanzas: segundo ciclo de e. infantil - primaria - educación secundaria obligatoria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=a9344b6faa61c010vgnvcm1000000b205a0arcrd,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28050,Valdefuentes,https://wikidata.org/entity/Q10388714,Hortaleza,https://wikidata.org/entity/Q1928529,444807,4482402,917 502 058 / 676 562 792,917 502 058,,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-18:00,Actividades extraescolares; días no lectivos; campamentos urbanos; talleres fin de semana,III,3,Si,Si (c/ infanta catalina micaela),,No,Si (150m²),Porterías; canastas; bancos,Alumbrado,3868;71 + 1384;25 + 4474;92,Mejorable (elementos deteriorados),,,,174,,https://wikidata.org/entity/Q858684,,https://wikidata.org/entity/Q858684,Calle infanta catalina micaela 31
1,4693138,Colegio público agustín rodriguez sahagún,Horario ampliado; comedor; planes de mejora,Enseñanza: educacion infantil - primaria - enseñanza Bilingüe,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=706c615f4eb66110vgnvcm1000000b205a0arcrd,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28031,Casco Histórico de Vallecas,https://wikidata.org/entity/Q16544370,Villa de Vallecas,https://wikidata.org/entity/Q1947988,447178,4468793,913 324 348,914 941 475,,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-20:00,,II,2,Si,Si (c/ granja de san ildefonso),Av. villa de vallecas (directo a canchas),Si,Porches; arbolado,Porterías; canastas; columpios; bancos; ping pong; rocódromo; huerto.,Alumbrado; fuente,5748;56,Bueno,Parque mundaire (450m); parque de las cataratas (550m); parque mundaire (650m),Orichas stadium (300m); instalación deportiva miguel guillen (900m),,142,,https://wikidata.org/entity/Q858684,,https://wikidata.org/entity/Q858684,Calle la granja de san ildefonso 17
2,5075,Colegio público agustina díez,Comedor; horario ampliado,Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=dd68a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28038,Portazgo,https://wikidata.org/entity/Q18005921,Puente de Vallecas,https://wikidata.org/entity/Q2003054,445067,4471046,917 770 073,917 770 073,,Ayuntamiento,Lunes-viernes continua,9:00-16:00,"Actividades extraescolares 16:00-17:00 ; quedamos al salir del cole"" 16:00-20:00""",,III,2,Si,No,No,Si,No,Porterías,Alumbrado,1111;43,Aceptable,Parque de la constitución (200m); parque azorín (600m),Biblioteca miguel hernández (750m),,54 ; 58 ; 103 ; 143,,https://wikidata.org/entity/Q858684,Alto del Arenal,https://wikidata.org/entity/Q2479465,Calle vesubio 5
3,5076,Colegio público alberto alcocer,Comedor; transporte; horario ampliado; planes de mejora,Enseñanza: educación infantil - primaria - enseñanza Bilingüe,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=2388a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28022,Hellín,https://wikidata.org/entity/Q10294546,San Blas,https://wikidata.org/entity/Q2001937,448087,4476035,913 202 609,913 200 446,,Ayuntamiento,Lunes-viernes partida,9:00-16:00,Actividades extraescolares 16:00-17:00,,III,2,Si,Si,Principal del centro,No,Porche pequeño,Porterías; canastas,No,5036;74822,Bueno,Parque paraiso,,,38 ; 48 ; 140; 153,,https://wikidata.org/entity/Q858684,Las Musas,https://wikidata.org/entity/Q2482052,Avenida canillejas a vicalvaro 56
