Órg. Gest.,Órgano Gestor,Imp. Conce,Fec. Conc.,Finalidad2,tipo_procedimiento,nominativa
206,DISTRITO DE TETUÁN,1800,27/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
215,DISTRITO DE CIUDAD LINEAL,97,07/02/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
206,DISTRITO DE TETUÁN,1440,17/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
206,DISTRITO DE TETUÁN,1620,17/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
206,DISTRITO DE TETUÁN,1620,17/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
206,DISTRITO DE TETUÁN,900,17/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
206,DISTRITO DE TETUÁN,600,17/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
206,DISTRITO DE TETUÁN,500,17/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
209,DISTRITO DE MONCLOA-ARAVACA,1884.39,10/02/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
215,DISTRITO DE CIUDAD LINEAL,540.8,13/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
212,DISTRITO DE USERA,1200,25/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
206,DISTRITO DE TETUÁN,2000,20/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
215,DISTRITO DE CIUDAD LINEAL,500,16/02/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
206,DISTRITO DE TETUÁN,641.02,20/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
206,DISTRITO DE TETUÁN,2745.9,20/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
206,DISTRITO DE TETUÁN,269.1,20/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
206,DISTRITO DE TETUÁN,212,20/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
206,DISTRITO DE TETUÁN,1230,20/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
206,DISTRITO DE TETUÁN,1305,20/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
206,DISTRITO DE TETUÁN,920,20/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
215,DISTRITO DE CIUDAD LINEAL,5853.15,13/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
206,DISTRITO DE TETUÁN,1540,20/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
206,DISTRITO DE TETUÁN,132.3,20/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
206,DISTRITO DE TETUÁN,2411.66,20/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
206,DISTRITO DE TETUÁN,234,20/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
206,DISTRITO DE TETUÁN,1237.5,20/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
206,DISTRITO DE TETUÁN,700,20/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
206,DISTRITO DE TETUÁN,260,20/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
