ikey;id;title;area_id;area_title;municipio_id;municipio_title;adjudicatario_id;adjudicatario_title;entidad_financiadora_id;entidad_financiadora_title;importe;fecha_adjudicacion;linea_financiacion_id;linea_financiacion_title;bases_reguladoras;tipo_instrumento_id;tipo_instrumento_title;aplicacion_presupuestaria_id;aplicacion_presupuestaria_title;nominativa;tipo_procedimiento;naturaleza_juridica_id;naturaleza_juridica_title;proyecto_subvencionado;publicable;id_subvencion;id_convocatoria
"1301312";"1301312";"SUBV ADAPTAC. VIV.PERSONAS MOV.REDUC.'PLAN ADAPTA MADRID-2020'";"161";"VIVIENDA";"28079";"Madrid";"Dato Protegido 1301312";"Dato Protegido 1301312";"MDRD";"Ayuntamiento de Madrid";6135.20;"2020-10-23 00:00:00.0";"08";"ACCESO A LA VIVIENDA Y FOMENTO DE LA EDIFICACIÓN";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatoria/510407";"SUBV";"SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN";"G/15220/78900";"CONSERVACIÓN Y REHABILITACIÓN VIVIENDA / TRANS.CAP.FAMILIAS";"false";"CONCURRENCIA COMPETITIVA";"10";"PERSONA FÍSICA ESPAÑOLA MAYOR DE 14 AÑOS";"SUBV ADAPTAC. VIV.PERSONAS MOV.REDUC.'PLAN ADAPTA MADRID-2020'";"NO";"49424";"510407"
"1301313";"1301313";"SUBV ADAPTAC. VIV.PERSONAS MOV.REDUC.'PLAN ADAPTA MADRID-2020'";"161";"VIVIENDA";"28079";"Madrid";"Dato Protegido 1301313";"Dato Protegido 1301313";"MDRD";"Ayuntamiento de Madrid";12779.31;"2020-10-23 00:00:00.0";"08";"ACCESO A LA VIVIENDA Y FOMENTO DE LA EDIFICACIÓN";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatoria/510407";"SUBV";"SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN";"G/15220/78900";"CONSERVACIÓN Y REHABILITACIÓN VIVIENDA / TRANS.CAP.FAMILIAS";"false";"CONCURRENCIA COMPETITIVA";"10";"PERSONA FÍSICA ESPAÑOLA MAYOR DE 14 AÑOS";"SUBV ADAPTAC. VIV.PERSONAS MOV.REDUC.'PLAN ADAPTA MADRID-2020'";"NO";"49425";"510407"
"1301314";"1301314";"SUBV ADAPTAC. VIV.PERSONAS MOV.REDUC.'PLAN ADAPTA MADRID-2020'";"161";"VIVIENDA";"28079";"Madrid";"Dato Protegido 1301314";"Dato Protegido 1301314";"MDRD";"Ayuntamiento de Madrid";25000.00;"2020-10-13 00:00:00.0";"08";"ACCESO A LA VIVIENDA Y FOMENTO DE LA EDIFICACIÓN";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatoria/510407";"SUBV";"SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN";"G/15220/78900";"CONSERVACIÓN Y REHABILITACIÓN VIVIENDA / TRANS.CAP.FAMILIAS";"false";"CONCURRENCIA COMPETITIVA";"10";"PERSONA FÍSICA ESPAÑOLA MAYOR DE 14 AÑOS";"SUBV ADAPTAC. VIV.PERSONAS MOV.REDUC.'PLAN ADAPTA MADRID-2020'";"NO";"49426";"510407"
"1301315";"1301315";"SUBV ADAPTAC. VIV.PERSONAS MOV.REDUC.'PLAN ADAPTA MADRID-2020'";"161";"VIVIENDA";"28079";"Madrid";"Dato Protegido 1301315";"Dato Protegido 1301315";"MDRD";"Ayuntamiento de Madrid";3715.64;"2020-10-29 00:00:00.0";"08";"ACCESO A LA VIVIENDA Y FOMENTO DE LA EDIFICACIÓN";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatoria/510407";"SUBV";"SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN";"G/15220/78900";"CONSERVACIÓN Y REHABILITACIÓN VIVIENDA / TRANS.CAP.FAMILIAS";"false";"CONCURRENCIA COMPETITIVA";"10";"PERSONA FÍSICA ESPAÑOLA MAYOR DE 14 AÑOS";"SUBV ADAPTAC. VIV.PERSONAS MOV.REDUC.'PLAN ADAPTA MADRID-2020'";"NO";"49427";"510407"
"1301316";"1301316";"SUBV ADAPTAC. VIV.PERSONAS MOV.REDUC.'PLAN ADAPTA MADRID-2020'";"161";"VIVIENDA";"28079";"Madrid";"Dato Protegido 1301316";"Dato Protegido 1301316";"MDRD";"Ayuntamiento de Madrid";4506.80;"2020-10-21 00:00:00.0";"08";"ACCESO A LA VIVIENDA Y FOMENTO DE LA EDIFICACIÓN";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatoria/510407";"SUBV";"SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN";"G/15220/78900";"CONSERVACIÓN Y REHABILITACIÓN VIVIENDA / TRANS.CAP.FAMILIAS";"false";"CONCURRENCIA COMPETITIVA";"10";"PERSONA FÍSICA ESPAÑOLA MAYOR DE 14 AÑOS";"SUBV ADAPTAC. VIV.PERSONAS MOV.REDUC.'PLAN ADAPTA MADRID-2020'";"NO";"49442";"510407"
"1301317";"1301317";"SUBV ADAPTAC. VIV.PERSONAS MOV.REDUC.'PLAN ADAPTA MADRID-2020'";"161";"VIVIENDA";"28079";"Madrid";"Dato Protegido 1301317";"Dato Protegido 1301317";"MDRD";"Ayuntamiento de Madrid";2722.51;"2020-10-21 00:00:00.0";"08";"ACCESO A LA VIVIENDA Y FOMENTO DE LA EDIFICACIÓN";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatoria/510407";"SUBV";"SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN";"G/15220/78900";"CONSERVACIÓN Y REHABILITACIÓN VIVIENDA / TRANS.CAP.FAMILIAS";"false";"CONCURRENCIA COMPETITIVA";"10";"PERSONA FÍSICA ESPAÑOLA MAYOR DE 14 AÑOS";"SUBV ADAPTAC. VIV.PERSONAS MOV.REDUC.'PLAN ADAPTA MADRID-2020'";"NO";"49443";"510407"
"1301318";"1301318";"SUBV ADAPTAC. VIV.PERSONAS MOV.REDUC.'PLAN ADAPTA MADRID-2020'";"161";"VIVIENDA";"28079";"Madrid";"Dato Protegido 1301318";"Dato Protegido 1301318";"MDRD";"Ayuntamiento de Madrid";8114.42;"2020-10-22 00:00:00.0";"08";"ACCESO A LA VIVIENDA Y FOMENTO DE LA EDIFICACIÓN";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatoria/510407";"SUBV";"SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN";"G/15220/78900";"CONSERVACIÓN Y REHABILITACIÓN VIVIENDA / TRANS.CAP.FAMILIAS";"false";"CONCURRENCIA COMPETITIVA";"10";"PERSONA FÍSICA ESPAÑOLA MAYOR DE 14 AÑOS";"SUBV ADAPTAC. VIV.PERSONAS MOV.REDUC.'PLAN ADAPTA MADRID-2020'";"NO";"49444";"510407"
"1301319";"1301319";"SUBV ADAPTAC. VIV.PERSONAS MOV.REDUC.'PLAN ADAPTA MADRID-2020'";"161";"VIVIENDA";"28079";"Madrid";"Dato Protegido 1301319";"Dato Protegido 1301319";"MDRD";"Ayuntamiento de Madrid";2010.94;"2020-10-22 00:00:00.0";"08";"ACCESO A LA VIVIENDA Y FOMENTO DE LA EDIFICACIÓN";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatoria/510407";"SUBV";"SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN";"G/15220/78900";"CONSERVACIÓN Y REHABILITACIÓN VIVIENDA / TRANS.CAP.FAMILIAS";"false";"CONCURRENCIA COMPETITIVA";"10";"PERSONA FÍSICA ESPAÑOLA MAYOR DE 14 AÑOS";"SUBV ADAPTAC. VIV.PERSONAS MOV.REDUC.'PLAN ADAPTA MADRID-2020'";"NO";"49445";"510407"
"1301320";"1301320";"SUBV ADAPTAC. VIV.PERSONAS MOV.REDUC.'PLAN ADAPTA MADRID-2020'";"161";"VIVIENDA";"28079";"Madrid";"Dato Protegido 1301320";"Dato Protegido 1301320";"MDRD";"Ayuntamiento de Madrid";14300.14;"2020-11-13 00:00:00.0";"08";"ACCESO A LA VIVIENDA Y FOMENTO DE LA EDIFICACIÓN";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatoria/510407";"SUBV";"SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN";"G/15220/78900";"CONSERVACIÓN Y REHABILITACIÓN VIVIENDA / TRANS.CAP.FAMILIAS";"false";"CONCURRENCIA COMPETITIVA";"10";"PERSONA FÍSICA ESPAÑOLA MAYOR DE 14 AÑOS";"SUBV ADAPTAC. VIV.PERSONAS MOV.REDUC.'PLAN ADAPTA MADRID-2020'";"NO";"49446";"510407"
"1301321";"1301321";"SUBV ADAPTAC. VIV.PERSONAS MOV.REDUC.'PLAN ADAPTA MADRID-2020'";"161";"VIVIENDA";"28079";"Madrid";"Dato Protegido 1301321";"Dato Protegido 1301321";"MDRD";"Ayuntamiento de Madrid";5490.93;"2020-10-30 00:00:00.0";"08";"ACCESO A LA VIVIENDA Y FOMENTO DE LA EDIFICACIÓN";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatoria/510407";"SUBV";"SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN";"G/15220/78900";"CONSERVACIÓN Y REHABILITACIÓN VIVIENDA / TRANS.CAP.FAMILIAS";"false";"CONCURRENCIA COMPETITIVA";"10";"PERSONA FÍSICA ESPAÑOLA MAYOR DE 14 AÑOS";"SUBV ADAPTAC. VIV.PERSONAS MOV.REDUC.'PLAN ADAPTA MADRID-2020'";"NO";"49447";"510407"
