ikey;id;title;area_id;area_title;municipio_id;municipio_title;adjudicatario_id;adjudicatario_title;entidad_financiadora_id;entidad_financiadora_title;importe;fecha_adjudicacion;linea_financiacion_id;linea_financiacion_title;bases_reguladoras;tipo_instrumento_id;tipo_instrumento_title;aplicacion_presupuestaria_id;aplicacion_presupuestaria_title;nominativa;tipo_procedimiento;naturaleza_juridica_id;naturaleza_juridica_title;proyecto_subvencionado;publicable;id_subvencion;id_convocatoria
"2268802";"2268802";"SUBV.NOMINATIVA ASOC.VECINOS BARRIO MOSCARDO.REHABILITACION RELOJES";"212";"DISTRITO DE USERA";"28079";"Madrid";"G88015953";"ASOCIACION VECINOS BARRIO MOSCARDO";"MDRD";"Ayuntamiento de Madrid";110000.00;"2022-06-08 00:00:00.0";"11";"CULTURA";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatoria/632834";"SUBV";"SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN";"G/33401/48901";"ACTIVIDAD.CULTURALES / OT. TRANF. A INSITUC. S/F";"true";"CONCESIÓN DIRECTA";"36";"PERSONA JURÍDICA ESPAÑOLA.ASOCIACIONES Y OTROS";"SUBV.NOMINATIVA ASOC.VECINOS BARRIO MOSCARDO.REHABILITACION RELOJES";"SI";"232";"632834"
"2270346";"2270346";"CUOTA ASOCIACIÓN ICOM-COMITÉ ESPAÑOL 2022";"130";"ÁREA DE GOBIERNO DE CULTURA, TURISMO Y DEPORTE";"28079";"Madrid";"G59953539";"ASOCIACION ICOM-COMITE ESPAÑOL . .";"MDRD";"Ayuntamiento de Madrid";1485.00;"2022-02-16 00:00:00.0";"11";"CULTURA";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatoria/612581";"SUBV";"SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN";"G/33301/48901";"MUSEOS / OT. TRANF. A INSITUC. S/F";"false";"CONCESIÓN DIRECTA";"50";"PERSONA JURÍDICA EXTRANJERA";"CUOTA ASOCIACIÓN ICOM-COMITÉ ESPAÑOL 2022";"SI";"1776";"612581"
"2271105";"2271105";"CUOTA ANUAL 2022 ASOC.INTERNACIONAL CIUDADES EDUCADORAS";"180";"ÁREA DE GOBIERNO DE FAMILIAS, IGUALDAD Y BIENESTAR SOCIAL";"28079";"Madrid";"G61045605";"ASOCIACION INTERNACIONAL DE CIUDADES EDUCADORAS .";"MDRD";"Ayuntamiento de Madrid";2750.00;"2022-03-02 00:00:00.0";"18";"OTRAS ACTUACIONES DE CARÁCTER ECONÓMICO";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatoria/613388";"SUBV";"SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN";"G/32601/48901";"SERVICIOS COMPLEMENTARIOS EDUCACIÓN / OT. TRANF. A INSITUC. S/F";"false";"CONCESIÓN DIRECTA";"36";"PERSONA JURÍDICA ESPAÑOLA.ASOCIACIONES Y OTROS";"CUOTA ANUAL 2022 ASOC.INTERNACIONAL CIUDADES EDUCADORAS";"SI";"2535";"613388"
"2271110";"2271110";"CUOTA ANUAL ASOC.INTERN.BIENAL JOVENES CREADORES 2022";"180";"ÁREA DE GOBIERNO DE FAMILIAS, IGUALDAD Y BIENESTAR SOCIAL";"28079";"Madrid";"476514676";"BIENAL DE JOVENES CREADORES DE EURO Y DEL MEDITERRANEO .";"MDRD";"Ayuntamiento de Madrid";2485.00;"2022-03-02 00:00:00.0";"18";"OTRAS ACTUACIONES DE CARÁCTER ECONÓMICO";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatoria/613389";"SUBV";"SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN";"G/33702/48901";"ACTIVIDADES  OCIO Y TIEMPO LIBRE JUVENTUD / OT. TRANF. A INSITUC. S/F";"false";"CONCESIÓN DIRECTA";"50";"PERSONA JURÍDICA EXTRANJERA";"CUOTA ANUAL ASOC.INTERN.BIENAL JOVENES CREADORES 2022";"SI";"2540";"613389"
"2271114";"2271114";"CUOTA ANUAL 2022 ADHESIÓN EUROPEAN SOCIAL NETWORK";"180";"ÁREA DE GOBIERNO DE FAMILIAS, IGUALDAD Y BIENESTAR SOCIAL";"28079";"Madrid";"691.597.627";"EUROPEAN SOCIAL NETWORK";"MDRD";"Ayuntamiento de Madrid";1205.00;"2022-03-02 00:00:00.0";"18";"OTRAS ACTUACIONES DE CARÁCTER ECONÓMICO";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatoria/613392";"SUBV";"SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN";"G/23106/48901";"SERVICIOS SOCIALES Y EMERGENCIA SOCIAL / OT. TRANF. A INSITUC. S/F";"false";"CONCESIÓN DIRECTA";"50";"PERSONA JURÍDICA EXTRANJERA";"CUOTA ANUAL 2022 ADHESIÓN EUROPEAN SOCIAL NETWORK";"SI";"2544";"613392"
"2271239";"2271239";"PAGO CUOTA 2022 MIEMBRO ASOC.MUSEOS IMPRENTA EUROPEOS";"130";"ÁREA DE GOBIERNO DE CULTURA, TURISMO Y DEPORTE";"28079";"Madrid";"0554659262";"ASOCIACION DE MUSEOS DE IMPRENTA EUROPEOS";"MDRD";"Ayuntamiento de Madrid";50.00;"2022-03-01 00:00:00.0";"11";"CULTURA";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatoria/619714";"SUBV";"SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN";"G/33301/48901";"MUSEOS / OT. TRANF. A INSITUC. S/F";"false";"CONCESIÓN DIRECTA";"50";"PERSONA JURÍDICA EXTRANJERA";"PAGO CUOTA 2022 MIEMBRO ASOC.MUSEOS IMPRENTA EUROPEOS";"SI";"2669";"619714"
"2271520";"2271520";"CUOTA ANUAL 2022-ASOCIACIÓN MUNDIAL DE LAS GRANDES METRÓPOLIS";"112";"INTERNACIONALIZACIÓN Y COOPERACIÓN";"28079";"Madrid";"G65011652";"ASOCIACION MUNDIAL DE LAS GRANDES METROPOLIS";"MDRD";"Ayuntamiento de Madrid";18920.00;"2022-03-04 00:00:00.0";"18";"OTRAS ACTUACIONES DE CARÁCTER ECONÓMICO";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatoria/613852";"SUBV";"SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN";"G/92207/48901";"INTERNACIONALIZACIÓN Y FONDOS EUROPEOS / OT. TRANF. A INSITUC. S/F";"false";"CONCESIÓN DIRECTA";"36";"PERSONA JURÍDICA ESPAÑOLA.ASOCIACIONES Y OTROS";"CUOTA ANUAL 2022-ASOCIACIÓN MUNDIAL DE LAS GRANDES METRÓPOLIS";"SI";"2950";"613852"
"2271522";"2271522";"CONVENIO SUBVENCIÓN NOMINATIVA ASALMA 2022";"140";"ÁREA DE GOBIERNO DE ECONOMÍA, INNOVACIÓN Y EMPLEO";"28079";"Madrid";"G78458809";"AGRUPACION DE SOCIEDADES LABORALES DE MADRID ASALMA";"MDRD";"Ayuntamiento de Madrid";50000.00;"2022-03-10 00:00:00.0";"05";"SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatoria/615217";"SUBV";"SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN";"G/43301/48901";"PROMOCIÓN ECONÓMICA Y DESARROLLO EMPRESARIAL / OT. TRANF. A INSITUC. S/F";"true";"CONCESIÓN DIRECTA";"36";"PERSONA JURÍDICA ESPAÑOLA.ASOCIACIONES Y OTROS";"CONVENIO SUBVENCIÓN NOMINATIVA ASALMA 2022";"SI";"2952";"615217"
"2271665";"2271665";"CUOTA ANUAL 2022 - RED EUROCITIES";"112";"INTERNACIONALIZACIÓN Y COOPERACIÓN";"28079";"Madrid";"BE0447820987";"EUROCITIES . .";"MDRD";"Ayuntamiento de Madrid";16300.00;"2022-03-07 00:00:00.0";"18";"OTRAS ACTUACIONES DE CARÁCTER ECONÓMICO";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatoria/613972";"SUBV";"SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN";"G/92207/48901";"INTERNACIONALIZACIÓN Y FONDOS EUROPEOS / OT. TRANF. A INSITUC. S/F";"false";"CONCESIÓN DIRECTA";"50";"PERSONA JURÍDICA EXTRANJERA";"CUOTA ANUAL 2022 - RED EUROCITIES";"SI";"3095";"613972"
"2272069";"2272069";"CONVENIO SUBVENCIÓN NOMINATIVA CÁMARA COMERCIO INDUSTRIA 2022";"140";"ÁREA DE GOBIERNO DE ECONOMÍA, INNOVACIÓN Y EMPLEO";"28079";"Madrid";"Q2873001H";"CAMARA OFICIAL DE COMERCIO INDUSTRIA Y SERVICIOS DE MADRID";"MDRD";"Ayuntamiento de Madrid";50000.00;"2022-05-13 00:00:00.0";"04";"OTRAS PRESTACIONES ECONÓMICAS";"https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatoria/628967";"SUBV";"SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN";"G/43301/48901";"PROMOCIÓN ECONÓMICA Y DESARROLLO EMPRESARIAL / OT. TRANF. A INSITUC. S/F";"true";"CONCESIÓN DIRECTA";"43";"PERSONA JURÍDICA ESPAÑOLA.OO.AA.AUTONÓMICOS Y ASIM";"CONVENIO SUBVENCIÓN NOMINATIVA CÁMARA COMERCIO INDUSTRIA 2022";"SI";"3499";"628967"
