X,Y,IDPTOVENTA,Municipio,Provincia,Código_Postal,Dirección,Latitud,Longitud
-3.48139999999995,40.53527,FB_039B56,Ajalvir,MADRID,28864,"CL LA FUENTE, 4",40.53527,-3.4814
-3.79632999999995,40.01093,FB_029B23,Alameda de la Sagra,TOLEDO,45240,"CL CHARCAS, 6",40.01093,-3.79633
-3.98872999999998,40.23159,FB_028A48,El Álamo,MADRID,28607,CL SOLEDAD 8,40.23159,-3.98873
-3.01269999999994,40.3080400000001,FB_038EDA,Albares,GUADALAJARA,19112,"CL SAN SEBASTIAN, 5",40.30804,-3.0127
-3.37404999999995,40.4890500000001,FB_0356A6,Alcalá de Henares,MADRID,28801,"CL TORRELAGUNA, 22 (KIOSCO)",40.48905,-3.37405
-3.36769999999996,40.4817200000001,FB_039322,Alcalá de Henares,MADRID,28801,"CL MAYOR, 90",40.48172,-3.3677
-3.36671999999993,40.48215,FB_039A70,Alcalá de Henares,MADRID,28801,"CL MAYOR, 37",40.48215,-3.36672
-3.36560999999995,40.4829500000001,FB_033EEE,Alcalá de Henares,MADRID,28801,"CL CERVANTES, 1",40.48295,-3.36561
-3.36474999999996,40.4833100000001,FB_038473,Alcalá de Henares,MADRID,28801,"PL CERVANTES, 29",40.48331,-3.36475
-3.37734999999998,40.4769000000001,FB_03367F,Alcalá de Henares,MADRID,28802,"CL SAN FRUCTUOSO, 12",40.4769,-3.37735
-3.37840999999997,40.47376,FB_034C03,Alcalá de Henares,MADRID,28802,"AV REYES CATOLICOS, 42",40.47376,-3.37841
-3.37852999999996,40.4738400000001,FB_0351C8,Alcalá de Henares,MADRID,28802,"AVDA. REYES CAT?LICOS, 46",40.47384,-3.37853
-3.38017999999994,40.4751900000001,FB_037D82,Alcalá de Henares,MADRID,28802,"CL SAN ASTURIO SERRANO, 11",40.47519,-3.38018
-3.38382999999993,40.4763400000001,FB_038E65,Alcalá de Henares,MADRID,28802,"CL NTRA. SRA DE BELEN, 28",40.47634,-3.38383
-3.36454999999995,40.4733800000001,FB_038DE9,Alcalá de Henares,MADRID,28803,"CL RIO MANZANARES, 2",40.47338,-3.36455
-3.36471999999998,40.4699200000001,FB_038B03,Alcalá de Henares,MADRID,28803,"CL ENTREPE?AS,S/N LOC-130",40.46992,-3.36472
-3.37287999999995,40.4780900000001,FB_037E7E,Alcalá de Henares,MADRID,28803,"AV REYES CATOLICOS, 3",40.47809,-3.37288
